#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
   7f2	= Nintendo WFC (2P)
   7f3	/
   802	= Please make sure the\n
	+ Mario Kart Wii Game\n
	+ Disc is inserted and\n
	+ then wait for the game\n
	+ to start up.
   803	= The Game Disc could not be\n
	+ read. Refer to the Wii\n
	+ Operations Manual for details.
   804	= An error has occurred.\n
	+ \n
	+ Press the Eject Button, remove the Game\n
	+ Disc, and turn the power off. Please read the\n
	+ Wii Operations Manual for more information.
   805	= There is not enough available space in\n
	+ the Wii system memory. Create 23\n
	+ blocks of free space by moving data\n
	+ to an SD Card or by deleting data\n
	+ in the Data Management screen.
   806	= The Wii system memory has\n
	+ been damaged. Refer to the\n
	+ Wii Operations Manual for\n
	+ further instructions.
   807	= This file cannot be used because the\n
	+ data is corrupted. Delete the file\n
	+ and create a new one?
   808	/
   809	= Could not write to/read from\n
	+ Wii system memory.\n
	+ \n
	+ For details, please read the\n
	+ Wii Operations Manual.
   80a	= You will return to the Wii Menu.
   80b	= Start without saving.
   80c	= Return to the Wii Menu.
   80d	= You cannot choose this menu\n
	+ because there is no save file.
   80e	= No save file could\n
	+ be read.\n
	+ \n
	+ Insert a Mario Kart Wii\n
	+ Game Disc.
   80f	= Launch Game Disc.
   810	= You will return to the\n
	+ Wii Menu. Is that OK?
   811	= Saving...\n
	+ Do not touch the\n
	+ Power Button or RESET.
   812	= Unable to read the\n
	+ Mii Channel save data.\n
	+ \n
	+ Please check the Mii Channel.
   813	= If the Mii that you just chose\n
	+ is deleted from the Mii Channel,\n
	+ the Mii that you are using in \n
	+ Mario Kart Wii will also be\n
	+ deleted. Please be careful.
   814	= A license has been\n
	+ created using a guest\n
	+ Mii. You can create\n
	+ a new Mii in the\n
	+ Mii Channel.
   815	= You can send up to five ghost\n
	+ challenges per play session.\n
	+ \n
	+ Please try to send a challenge\n
	+ the next time you start up\n
	+ Mario Kart Wii.
   816	= There is no save data, so you\n
	+ cannot use this mode.\n
	+ \n
	+ You can manage your save data\n
	+ in the Data Management screen\n
	+ of your Wii system.
   817	= There is not enough available\n
	+ space in Wii system memory.\n
	+ Either move data to an SD Card\n
	+ or delete data in the Data\n
	+ Management screen.
   818	= You've been disconnected\n
	+ from Nintendo WFC. You will\n
	+ return to the Main Menu.
   819	= The region settings have changed.\n
	+ You must either recreate your save\n
	+ file or return to the Wii Menu\n
	+ and restore the region settings.
   81a	= Create a new save file.
   81b	/
   834	/
   835	= A new Mario Kart Wii license\n
	+ will be created.
   836	= Create a License
   837	= Erase License
   838	= Select License
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= A new license will be\n
	+ created for \z{802,120000}.\n
	+ Is that OK?
   840	= The Mii on this\n
	+ license will change\n
	+ to \z{802,120000}. Is that OK?
   841	= \z{602,0} and\n
	+ \z{802,120000} will\n
	+ both connect to Nintendo WFC.
   842	/
   848	= Check Records
   849	= Check \z{602,0}'s records.
   84a	= Change the Mii on this license.
   84b	= Choose a Mii.
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Erase \z{602,0}'s license.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Close
   858	/
   866	/
   867	= Your new license is ready.
   868	= \z{602,0}'s license\n
	+ will be erased.\n
	+ Is this OK?
   869	= \z{602,0}'s license\n
	+ has been erased.
   86a	/
   86b	= The Mii for this license has changed.
   86c	/
   86d	= Erase License
   86e	= Delete ghosts and friend\n
	+ rosters?
   86f	/
   898	= Change Miis
   899	= Choose a Mii!
   89a	= Wii Console
   89b	= Guest
   89c	/
   89d	= The Mii for this license has been\n
	+ deleted from the Mii Channel.\n
	+ Please select another Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= The batteries in\n
	+ your Wii Remote are\n
	+ running low.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\n
	+ \z{800,46}Player
   8fe	= 2\n
	+ \z{800,46}Players
   8ff	= 3\n
	+ \z{800,46}Players
   900	= 4\n
	+ \z{800,46}Players
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Controller Registration
   962	= Press the A Button of the controller that Player 2 will be using.
   963	= Press the A Button of the controller that Player 3 will be using.
   964	= Press the A Button of the controller that Player 4 will be using.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= Is this OK?
   9c5	= Revise
   9c6	= Press the A Button on the first player's controller.
   9c7	= Press the A Button on the second player's controller.
   9c8	= Press the A Button on the third player's controller.
   9c9	= Press the A Button on the fourth player's controller.
   9ca	= Here are the controllers that will be used.
   9cb	= Change the controllers.
   9cc	= \z{802,110000} Add a Wii Remote
   9cd	= Please press \u{f043} and \u{f030} at the same time.
   9ce	= \z{802,110000} OK
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= Install the Mario Kart Channel\n
	+ (\z{a02,1000000000} blocks) on your Wii Menu?
   a29	= Install
   a2a	= Don't Install
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Mario Kart Channel
   a30	= If you install the Mario Kart\n
	+ Channel on your Wii Menu,\n
	+ you can access the channel\n
	+ without inserting a Mario Kart\n
	+ Wii Game Disc.
   a31	= The Mario Kart Channel\n
	+ is already installed on\n
	+ this Wii Menu.
   a32	= There is not enough available\n
	+ space in Wii system memory.\n
	+ \n
	+ Create \z{a02,1000000000} blocks of free\n
	+ space either by moving\n
	+ data to an SD Card or\n
	+ deleting data in the\n
	+ Data Management screen.\n
	+ To organize the content stored\n
	+ in Wii system memory, do so\n
	+ at the Save Data screen of\n
	+ the Wii system.
   a33	= There is not enough available space\n
	+ in Wii system memory. Please move\n
	+ data to an SD Card or delete data\n
	+ in the Data Management screen.\n
	+ To organize the content stored in \n
	+ Wii system memory, do so at the \n
	+ Save Data screen of the Wii system.
   a34	= You don't have enough\n
	+ open channels.\n
	+ \n
	+ Please move data to an\n
	+ SD Card or delete it in the\n
	+ Data Management screen.
   a35	= The Wii system memory has\n
	+ been damaged. Refer to the\n
	+ Wii Operations Manual for details.
   a36	/
   bb8	= Grand Prix
   bb9	= Time Trials
   bba	= VS
   bbb	= Battle
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}Karts Only
   bbf	= 100cc\n
	+ \z{800,32}Bikes Only
   bc0	= 150cc\n
	+ \z{800,32}Karts and Bikes
   bc1	= Mirror\n
	+ \z{800,32}Karts and Bikes
   bc2	= 50cc\n
	+ \z{800,32}Karts and Bikes
   bc3	= 100cc\n
	+ \z{800,32}Karts and Bikes
   bc4	= \z{802,110000}Switch
   bc5	/
   bea	= A four-track race for first place!
   beb	= Race by yourself for the fastest record.
   bec	= Race using custom rules.
   bed	= Race using custom rules.
   bee	= Battle in teams.
   bef	= Battle in teams.
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= A Grand Prix for beginners (karts only).
   bf5	= A Grand Prix for average players (bikes only).
   bf6	= A Grand Prix for experts (karts and bikes).
   bf7	= Right and left are reversed in this Grand Prix (karts and bikes).
   bf8	= A Grand Prix for beginners (karts and bikes).
   bf9	= A Grand Prix for average players (karts and bikes).
   bfa	/
   c1c	= Time Trials
   c1d	= There are no ghosts for this course.
   c1e	/
   c1f	= Check Rankings
   c20	/
   c80	= Battle Type
   c81	= Balloon Battle
   c82	= Coin Runners
   c83	/
   c84	/
   cb2	= Pop your opponents' balloons.
   cb3	= Grab as many coins as you can.
   cb4	/
   cb5	/
   ce9	= Drift
   cea	= Automatic
   ceb	= Manual
   cec	= Help
   ced	= ■Automatic Drift■\n
	+ 1. You'll drift automatically when turning.\n
	+ 2. When you turn, you won't slow down.\n
	+ (\z{802,170000}You won't be able to hop or use Mini-Turbos.)\n
	+ \n
	+ ■Manual Drift■\n
	+ 1. \z{802,170000}After you hop, you'll begin drifting.\n
	+ 2. Keep drifting to get a speed boost (a Mini-Turbo).
   cee	= See an explanation for drifting.
   cef	= Speed
   cf0	= Weight
   cf1	= Acceleration
   cf2	= Handling
   cf3	= Drift
   cf4	= Off-Road
   cf5	= Mini-Turbo
   cf6	/
   d16	= Drift automatically (no Mini-Turbos).
   d17	= Drift using buttons (with Mini-Turbos).
   d18	/
   d20	= \z{802,110000} Trophy: \z{802,110001} Rank: \z{802,110002}
   d21	= Time Trials
   d22	= \z{802,110000}
   d23	= \z{802,110000} VS
   d24	= \u{f069} Balloon Battle
   d25	= \u{f068} Coin Runners
   d26	= \z{802,110000} Team VS Race
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	= 
   d37	/
   d38	/
   d48	= Rules
   d49	= Engine Classes
   d4a	= Characters
   d4b	= Vehicles
   d4c	= Cups
   d4d	= Courses
   d4e	= Stages
   d4f	= Ghosts
   d50	= Battle
   d51	= VS
   d52	= Class
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= Mirror
   d57	= 50cc speed for beginners.
   d58	= 100cc speed for average racers.
   d59	= 150cc speed for experts.
   d5a	= Right/left reverse course, 150cc speed.
   d5c	= CPU
   d5d	= Easy
   d5e	= Normal
   d5f	= Hard
   d60	= None
   d61	= CPUs are less skilled.
   d62	= CPUs are average.
   d63	= CPUs are more skilled.
   d64	= No CPUs race.
   d66	= CPU Vehicles
   d67	= Karts
   d68	= Bikes
   d69	= All
   d6a	= CPU players only ride karts.
   d6b	= CPU players only ride bikes.
   d6c	= CPU players ride karts and bikes.
   d6d	= CPU players only ride karts.
   d6e	= CPU players only ride bikes.
   d6f	= CPU players ride karts and bikes.
   d70	= Courses
   d71	= Choose
   d72	= Random
   d73	= In Order
   d74	= Choose the course for each race.
   d75	= Randomly choose courses.
   d76	= Play courses in order by cup.
   d77	= Choose the stage for each battle.
   d78	= Randomly choose stages.
   d79	= Play stages in order.
   d7a	= Race Count
   d7b	= Races: \z{a02,1000000001}
   d7c	= Win Count
   d84	= Wins: \z{a02,1000000001}
   d85	= Team Race
   d86	= Team Race
   d87	= Solo Race
   d88	/
   d89	= Set the number of races.
   d8a	= Set the number of wins.
   d8b	= Split into two teams and compete for the most points.
   d8c	= Compete for the most points and the highest standing.
   d8d	= Stage
   d8e	= Quit the VS race?
   d8f	= Quit the battle?
   d90	= Race with these rules.
   d91	= Battle with these rules.
   d92	= Set the rules of the race.
   d93	= Set the rules of the battle.
   d94	/
   d98	= Items
   d99	= Balanced
   d9a	= Aggressive
   d9b	= Strategic
   d9c	= None
   d9d	= Items are balanced.
   d9e	= Powerful items are more likely to appear.
   d9f	= Powerful items are less likely to appear.
   da0	= No items appear.
   da1	/
   dac	= Team Settings
   dad	= Blue\n
	+ Team
   dae	= Red\n
	+ Team
   daf	= Check Teams
   db0	= Play with these teams.
   db1	= Check Members
   db2	= \c{blue1}Blue\n
	+ Team
   db3	= \c{red2}Red\n
	+ Team
   db4	= All players are on the same team.\n
	+ \n
	+ Please choose again.
   db5	/
   dde	= Start Race
   ddf	= Start Battle
   de0	= Start Tournament
   de1	/
   fa0	= Worldwide
   fa1	= Regional
   fa2	= Friends
   fa3	= Ghost Race
   fa4	= Nintendo WFC Setup
   fa5	/
   fa6	/
   fa7	/
   fa8	= You don't have any friends\n
	+ registered. Register friends\n
	+ to play with them.
   fa9	/
   faa	= Connecting to Nintendo WFC...
   fab	= Disconnect from Nintendo WFC?
   fac	= Yes
   fad	= No
   fae	/
   faf	/
   fb0	= You cannot use this Mii name\n
	+ over Nintendo WFC. \n
	+ \n
	+ Please reconnect after\n
	+ changing the Mii name.
   fb1	/
   fb2	= You were disconnected\n
	+ from the other players.
   fb3	= Leave the room?
   fb4	= Close the room?
   fb5	= You were disconnected\n
	+ from the room's creator.\n
	+ You will return to the\n
	+ friend roster now.
   fb6	= You couldn't meet up\n
	+ with this friend.\n
	+ \n
	+ Please wait and try\n
	+ again later.
   fb7	/
   fb8	= Meet and Greet
   fb9	/
  1004	= Room
  1005	= Create a Room
  1006	= Joining a friend...
  1007	/
  1008	/
  1009	/
  100a	= Searching for opponents...
  100b	= Your opponents have been chosen!
  100c	= Waiting for friends...
  100d	= Close
  100e	= Let's play a VS race!
  100f	= Let's play a team VS race!
  1010	= Let's play a Balloon Battle!
  1011	= Let's play Coin Runners!
  1012	/
  1036	= Register
  1037	= Let's be friends, \z{802,120000}!
  1038	= No players to befriend.
  1039	/
  103a	= \z{802,120000} and I are friends now!
  103b	/
  1068	= Message
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\z{800,46}VR
  106b	= \z{a02,1000000000}\z{800,46}BR
  106c	= Please wait a moment.
  106d	= Worldwide VS
  106e	= Worldwide Battle
  106f	= Regional VS
  1070	= Regional Battle
  10cc	= Choose a mode.
  10cd	= Please wait a moment.
  10ce	= The mode of play has been decided.
  10cf	/
  10d0	/
  10d1	= VS
  10d2	= VS
  10d3	/
  10d4	= Battle
  10d5	= Battle
  10d6	= Play with people around the world.
  10d7	= Play with people in the same region.
  10d8	= Play with friends.
  10d9	= Race ghosts from around the world.
  10da	= Race up to 11 other people.
  10db	= Split into two teams of six to battle.
  10dc	= Create a room and play with friends.
  10dd	= See what your friends are doing.
  10de	= Register a new friend code.
  10df	/
  10e0	= The next race is 100cc.
  10e1	= The next race is 150cc!
  10e2	= The next race is a Mirror Race!
  10e3	= \u{f069} Balloon Battle
  10e4	= \u{f068} Coin Runners
  10e5	= The next race is 100cc.
  10e6	= The next race is 150cc!
  10e7	= The next race is a Mirror Race!
  10e8	= The next race is 100cc.
  10e9	= The next race is 150cc!
  10ea	= The next race is a Mirror Race!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= Vote for the next course?
  10ff	= Vote
  1100	= Random
  1101	= ?
  1102	= Course Poll
  1103	= Vote for a stage.
  1104	= Choose a stage?
  1105	= Preparing the race...
  1106	= Preparing the battle...
  1107	/
  1108	= Waiting for everyone's vote...
  1109	= 
  110a	= The course has been selected!
  110b	= The stage has been selected!
  110c	/
  1112	= Send a message to everyone.
  1113	= Please choose a message.
  1114	= Close the room to new members.
  1115	= Choose what to play.
  1116	= Invite others to become your friends.
  1117	= Only the person you want to befriend will see this message.
  1118	/
  1126	= Please enter a friend code.
  1127	= Register this friend code?
  1128	= Play with friends.
  1129	= This player will be deleted from your friend roster.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= Here I am!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= A communication error has\n
	+ occurred. You will return\n
	+ to the Main Menu.\n
	+ \n
	+ Error code: \z{a02,1000000005}
  11f9	= Unable to connect to the\n
	+ Internet. Confirm the Internet\n
	+ settings of the Wii console.\n
	+ \n
	+ Error code: \z{a02,1000000005}
  11fa	= Either Nintendo Wi-Fi Connection\n
	+ is experiencing high traffic\n
	+ volumes or the service is down.\n
	+ Please try again later. For help,\n
	+ visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fb	= Unable to connect to Nintendo\n
	+ Wi-Fi Connection. For help, check\n
	+ the software instruction booklet,\n
	+ or go to support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fc	= Nintendo Wi-Fi Connection service\n
	+ for this software has been discontinued.\n
	+ Visit support.nintendo.com for a list\n
	+ of current Nintendo Wi-Fi\n
	+ Connection-compatible software.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fd	= Unable to connect to Nintendo\n
	+ Wi-Fi Connection. For help, check\n
	+ the software instruction booklet,\n
	+ or go to support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fe	= Either Nintendo Wi-Fi Connection\n
	+ is experiencing high traffic\n
	+ volumes, or the service is down.\n
	+ Please try again later. For help,\n
	+ visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11ff	= There is not enough available\n
	+ space in Wii system memory.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1200	= The Wii system memory has\n
	+ been damaged. Refer to the\n
	+ Wii operations manual for\n
	+ further instructions.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1201	= Communication error.\n
	+ Please try again. For help,\n
	+ visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1202	= Download failed. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1203	= Communication error. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1204	= Communication error. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1205	= Communication error. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1206	= Communication error. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1207	= Communication error. Please\n
	+ try again. For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1208	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1209	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120a	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120b	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120c	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120d	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120e	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120f	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1210	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1211	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1212	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1213	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1214	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1215	= Communication error. You\n
	+ have been disconnected from\n
	+ Nintendo Wi-Fi Connection.\n
	+ For help, visit\n
	+ support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1216	/
  1388	= Mario Kart Channel
  1389	= Find a Friend
  138a	= Rankings
  138b	= Ghost Race
  138c	= Tournament
  138d	/
  138e	= Register a Friend
  138f	/
  1390	= Wii Menu
  1391	= Downloaded Ghosts
  1392	= Tournament
  1393	= Friend Roster
  1394	/
  1395	/
  1396	= Start Race
  1397	= Race successive ghosts\n
	+ from around the world!\n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!
  1398	= My Ghost
  1399	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139a	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139b	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139c	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139d	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139e	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  139f	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  13a0	= Race successive ghosts\n
	+ from around the world! \n
	+ \n
	+ Hone your skills by racing\n
	+ lots of ghosts!\n
	+ \n
	+ \z{a02,1000000000} \z{c04,13a213a3} \z{a02,1000010000} \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= win
  13a3	= wins
  13a4	= loss
  13a5	= losses
  13a6	/
  13ba	= Friends
  13bb	= Ghosts
  13bc	= Time Trial Rankings
  13bd	/
  13be	= Tournament Rankings
  13bf	/
  13c4	= Check which friends are playing now.
  13c5	= Compare your ranking to other people's.
  13c6	= Check and erase downloaded ghosts.
  13c7	= Compete in Mario Kart Wii tournaments.
  13c8	= Check ghost races and your ghost list.\040
  13c9	/
  13ca	= Send and receive ghosts from here!
  13cb	/
  13cc	= These are the Mario Kart Wii rankings!
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Please enter the friend code.
  13ed	= Register this friend code?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= The friend code below is incorrect.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ef	= The friend code below has\n
	+ been registered.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13f0	= Make sure your friend registers\n
	+ your friend code, \z{602,0}.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}\n
	+ \n
	+ Once you both register each other's\n
