#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= 안녕하세요!
   7e6	= VS와 배틀을 3명이 플레이합니다
   7e7	= VS와 배틀을 4명이 플레이합니다
   7e8	= 인터넷상에서 플레이합니다
   7e9	= 인터넷상에서 2명이 플레이합니다
   7ea	= 랭킹을 보거나 대회에 참가합니다
   7eb	= 기록을 보거나 Mii를 변경합니다
   7ec	/
   7ed	/
   7ee	= 멀티 플레이 (2명)
   7ef	= 멀티 플레이 (3명)
   7f0	= 멀티 플레이 (4명)
   7f1	= Wi-Fi (1명)
   7f2	= Wi-Fi (2명)
   7f3	/
   802	= 「마리오 카트 Wii」를\n
	+ 시작합니다.\n
	+ \n
	+ Wii 본체에 디스크를 넣고\n
	+ 잠시 기다려 주십시오.
   803	= 디스크를 불러오지 못했습니다.\n
	+ 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.
   804	= 에러가 발생했습니다.\n
	+ \n
	+ 꺼냄 버튼을 눌러 디스크를\n
	+ 꺼낸 다음, 본체 전원을 끄고\n
	+ 본체 사용설명서의 \n
	+ 지시에 따라 주십시오.
   805	= Wii 본체 저장 메모리의\n
	+ 빈 용량이 부족합니다.\n
	+ 저장 데이터 관리 화면에서\n
	+ 데이터를 SD 카드로 이동하거나\n
	+ 데이터를 삭제하여 23블록의\n
	+ 여유 공간을 확보해 주십시오.
   806	= Wii 본체 저장 메모리가 손상되어\n
	+ 있습니다. 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.
   807	= 데이터가 손상되어 있어\n
	+ 본 파일은 사용할 수 없습니다.\n
	+ 파일을 삭제하고 새로운 파일을\n
	+ 작성하겠습니까?
   808	/
   809	= Wii 본체 저장 메모리의\n
	+ 읽기/쓰기를 할 수 없습니다.\n
	+ \n
	+ 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.
   80a	= Wii 메뉴로 돌아갑니다.
   80b	= 저장하지 않고 플레이
   80c	= Wii 메뉴로 돌아가기
   80d	= 저장 파일이 없어\n
	+ 이 메뉴는 선택할 수 없습니다.
   80e	= 저장 파일을\n
	+ 읽지 못했습니다.\n
	+ \n
	+ 「마리오 카트 Wii」\n
	+ 디스크를 넣어 주십시오.
   80f	= 디스크 시작
   810	= Wii 메뉴로 돌아가겠습니까?
   811	= 저장 중입니다.\n
	+ 전원 버튼 또는 리셋 버튼을\n
	+ 건드리지 마십시오.
   812	= 「Mii 채널」의 저장 데이터를\n
	+ 읽지 못했습니다.\n
	+ \n
	+ 「Mii 채널」에서\n
	+ 확인해 주십시오.
   813	= 지금 선택한 Mii를\n
	+ 「Mii 채널」에서 삭제하면\n
	+ 「마리오 카트 Wii」에서 사용하는\n
	+ Mii도 삭제되어 버립니다.\n
	+ \n
	+ 주의해 주십시오.
   814	= 게스트의 Mii로\n
	+ 라이센스를 만들었습니다.\n
	+ \n
	+ 새로운 Mii는\n
	+ 「Mii 채널」에서\n
	+ 만들 수 있습니다.
   815	= 한 번에 보낼 수 있는 고스트\n
	+ 도전장은 5통까지입니다.\n
	+ \n
	+ 다시 보낼 수 있게 될 때까지\n
	+ 잠시 기다려 주십시오.\n
	+ \n
	+ 「마리오 카트 Wii」를 다시\n
	+ 플레이할 때 시도해 주십시오.
   816	= 저장 데이터가 없기 때문에\n
	+ 이 모드는 이용할 수 없습니다.\n
	+ \n
	+ Wii 본체 저장 메모리는\n
	+ Wii 본체 저장 데이터 관리\n
	+ 화면에서 정리할 수 있습니다.
   817	= Wii 본체 저장 메모리의\n
	+ 빈 파일 수가 부족합니다.\n
	+ 저장 데이터 관리 화면에서\n
	+ 데이터를 SD 카드로 이동하거나\n
	+ 데이터를 삭제해 주십시오.
   818	= Wi-Fi 커넥션을 종료하고\n
	+ 메인 메뉴로 돌아갑니다.
   819	= 국가 설정이 변경되어 저장 파일\n
	+ 을 다시 만들어야 합니다. 저장\n
	+ 파일을 다시 만들지 않으려면 Wii\n
	+ 메뉴의 국가 설정을 되돌려 주십시오.
   81a	= 저장 파일을 다시 만들기
   81b	/
   834	/
   835	= 「마리오 카트 Wii」를 즐기기 위한\n
	+ 새로운 라이센스를 만듭니다.
   836	= 라이센스 작성
   837	= 라이센스 삭제
   838	= 라이센스 선택
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= \z{802,120000} 님의\n
	+ 라이센스를 만들겠습니까?
   840	= 라이센스의 Mii를\n
	+ \z{802,120000} 님으로\n
	+ 변경하겠습니까?
   841	= \z{602,0} 님과\n
	+ \z{802,120000} 님이\n
	+ Wi-Fi 커넥션에 접속합니다.
   842	/
   848	= 기록 확인
   849	= \z{602,0} 님의 기록을 확인합니다
   84a	= 라이센스의 Mii를 변경합니다
   84b	= Mii를 선택해 주십시오
   84c	/
   84d	/
   84e	/
   84f	/
   850	= \z{602,0} 님의 라이센스를 삭제합니다
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= 닫기
   858	/
   866	/
   867	= 새로운 라이센스가 준비되었습니다.
   868	= \z{602,0} 님의\n
	+ 라이센스를 삭제해도 되겠습니까?
   869	= \z{602,0} 님의\n
	+ 라이센스를 삭제했습니다.
   86a	/
   86b	= 라이센스의 Mii가 변경되었습니다.
   86c	/
   86d	= 라이센스를 삭제하고 있습니다
   86e	= 친구 목록이나 고스트 등도\n
	+ 모두 삭제됩니다.\n
	+ 정말로 삭제하겠습니까?
   86f	/
   898	= Mii 변경
   899	= Mii를 선택해 주십시오
   89a	= Wii 본체
   89b	= 게스트
   89c	/
   89d	= 라이센스의 Mii가\n
	+ 「Mii 채널」에서 삭제되었습니다.\n
	+ Mii를 다시 선택해 주십시오.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Wii 리모컨의 전지가\n
	+ 얼마 남지 않았습니다.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\z{800,3c}명
   8fe	= 2\z{800,3c}명
   8ff	= 3\z{800,3c}명
   900	= 4\z{800,3c}명
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= 컨트롤러 등록
   962	= 2P가 사용할 컨트롤러의 A 버튼을 눌러 주십시오
   963	= 3P가 사용할 컨트롤러의 A 버튼을 눌러 주십시오
   964	= 4P가 사용할 컨트롤러의 A 버튼을 눌러 주십시오
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= 이렇게 하겠습니까?
   9c5	= 변경
   9c6	= 1번째 컨트롤러의 A 버튼을 눌러 주십시오
   9c7	= 2번째 컨트롤러의 A 버튼을 눌러 주십시오
   9c8	= 3번째 컨트롤러의 A 버튼을 눌러 주십시오
   9c9	= 4번째 컨트롤러의 A 버튼을 눌러 주십시오
   9ca	= 이 컨트롤러로 플레이합니다
   9cb	= 컨트롤러를 변경합니다
   9cc	= \z{802,110000}리모컨 추가
   9cd	= \u{f043}과 \u{f030}를 동시에 눌러 주십시오
   9ce	= \z{802,110000}결정
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= 「마리오 카트 채널」\n
	+ （\z{a02,1000000000}블록）\n
	+ 을 Wii 본체에 저장하겠습니까?
   a29	= 예
   a2a	= 아니요
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= 마리오 카트 채널의 저장
   a30	= 「마리오 카트 채널」을\n
	+ Wii 본체에 저장할 수 있습니다.\n
	+ \n
	+ Wii 디스크를 넣지 않아도\n
	+ 「마리오 카트 채널」을\n
	+ 이용할 수 있게 됩니다.
   a31	= 「마리오 카트 채널」은\n
	+ Wii 본체에 저장되어 있습니다.
   a32	= Wii 본체 저장 메모리의\n
	+ 빈 용량이 부족합니다.\n
	+ \n
	+ 저장 데이터 관리 화면에서\n
	+ 데이터를 SD 카드로 이동하거나\n
	+ 데이터를 삭제하여\n
	+ \z{a02,1000000000}블록의 여유 공간을\n
	+ 확보해 주십시오.
   a33	= Wii 본체 저장 메모리의\n
	+ 빈 파일 수가 부족합니다.\n
	+ \n
	+ 저장 데이터 관리 화면에서\n
	+ 데이터를 SD 카드로 이동하거나\n
	+ 데이터를 삭제해 주십시오.
   a34	= 빈 채널 수가 부족합니다.\n
	+ \n
	+ Wii 메뉴의 저장 데이터 관리 화면\n
	+ 에서 채널을 SD 카드로 복사하거\n
	+ 나 채널을 삭제해 주십시오.
   a35	= 시스템 파일이\n
	+ 손상되어 있습니다.\n
	+ \n
	+ 자세한 내용은 Wii 본체\n
	+ 사용설명서를 읽어 주십시오.
   a36	/
   bb8	= 그랑프리
   bb9	= 타임 어택
   bba	= VS
   bbb	= 배틀
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}카트 한정
   bbf	= 100cc\n
	+ \z{800,32}바이크 한정
   bc0	= 150cc\n
	+ \z{800,32}카트＆바이크
   bc1	= 미러\n
	+ \z{800,32}카트＆바이크
   bc2	= 50cc\n
	+ \z{800,32}카트＆바이크
   bc3	= 100cc\n
	+ \z{800,32}카트＆바이크
   bc4	= \z{802,110000}전환
   bc5	/
   bea	= 우승컵을 목표로 경기에 참가합니다
   beb	= 혼자서 최고 기록에 도전합니다
   bec	= 선호하는 설정으로 레이스를 펼칩니다
   bed	= 선호하는 설정으로 레이스를 펼칩니다
   bee	= 2팀으로 나눠 배틀을 펼칩니다
   bef	= 2팀으로 나눠 배틀을 펼칩니다
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= 초보자를 위한 그랑프리입니다(카트 한정)
   bf5	= 평균적인 그랑프리입니다(바이크 한정)
   bf6	= 전문가를 위한 그랑프리입니다(카트＆바이크)
   bf7	= 좌우가 뒤바뀐 그랑프리입니다(카트＆바이크)
   bf8	= 초보자를 위한 그랑프리입니다(카트＆바이크)
   bf9	= 평균적인 그랑프리입니다(카트＆바이크)
   bfa	/
   c1c	= 타임 어택 메뉴
   c1d	= 이 코스는 고스트가 없습니다
   c1e	/
   c1f	= 랭킹 확인
   c20	/
   c80	= 배틀 선택
   c81	= 풍선 배틀!
   c82	= 코인을 모아라!
   c83	/
   c84	/
   cb2	= 상대 팀의 풍선을 터뜨리는 게임입니다
   cb3	= 스테이지의 코인을 획득하는 게임입니다
   cb4	/
   cb5	/
   ce9	= 드리프트 모드
   cea	= 자동 드리프트
   ceb	= 수동 드리프트
   cec	= 도움말
   ced	= ■ 자동 드리프트 ■\n
	+ 1. 핸들을 꺾으면 자동으로 드리프트합니다\n
	+ 2. 속도를 줄이지 않고 코너를 돌 수 있습니다!\n
	+ (\z{802,170000}미니 점프와 미니 터보는 사용할 수
	+  없습니다)\n
	+ \n
	+ ■ 수동 드리프트 ■\n
	+ 1. \z{802,170000}미니 점프 후에 드리프트합니다\n
	+ 2. 드리프트를 계속하면 미니 터보가 쌓입니다\n
	+ 3. 미니 터보를 사용하면 속도가 빨라집니다!
   cee	= 드리프트 모드 설명을 확인합니다
   cef	= 스피드
   cf0	= 무게
   cf1	= 가속
   cf2	= 핸들링
   cf3	= 드리프트
   cf4	= 악로 주행
   cf5	= 미니 터보
   cf6	/
   d16	= 자동으로 드리프트합니다(미니 터보 없음)
   d17	= 버튼으로 드리프트합니다(미니 터보 있음)
   d18	/
   d20	= \z{802,110000} 트로피：\z{802,110001} 랭크：\z{802,110002}
   d21	= 타임 어택
   d22	= \z{802,110000}
   d23	= \z{802,110000} VS
   d24	= \u{f069} 풍선 배틀!
   d25	= \u{f068} 코인을 모아라!
   d26	= \z{802,110000} VS 단체전
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	= \u{f060}
   d37	/
   d38	/
   d48	= 규칙 설정
   d49	= 클래스 선택
   d4a	= 캐릭터 선택
   d4b	= 머신 선택
   d4c	= 컵 선택
   d4d	= 코스 선택
   d4e	= 스테이지 선택
   d4f	= 고스트 선택
   d50	= 배틀
   d51	= VS
   d52	= 클래스
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= 미러
   d57	= 초보자를 위한 50cc 스피드입니다
   d58	= 평균적인 100cc 스피드입니다
   d59	= 전문가를 위한 150cc 스피드입니다
   d5a	= 좌우가 뒤바뀐 코스에서 150cc 스피드입니다
   d5c	= COM
   d5d	= 약함
   d5e	= 보통
   d5f	= 강함
   d60	= 없음
   d61	= COM 캐릭터를 약하게 설정합니다
   d62	= COM 캐릭터를 보통으로 설정합니다
   d63	= COM 캐릭터를 강하게 설정합니다
   d64	= COM 캐릭터를 등장시키지 않습니다
   d66	= COM 머신
   d67	= 카트 한정
   d68	= 바이크 한정
   d69	= 카트＆바이크
   d6a	= COM 머신을 카트만 등장시킵니다
   d6b	= COM 머신을 바이크만 등장시킵니다
   d6c	= COM 머신을 카트＆바이크로 설정합니다
   d6d	= COM 머신을 카트만 등장시킵니다
   d6e	= COM 머신을 바이크만 등장시킵니다
   d6f	= COM 머신을 카트＆바이크로 설정합니다
   d70	= 코스
   d71	= 선택
   d72	= 랜덤
   d73	= 차례대로
   d74	= 매 레이스마다 코스를 선택합니다
   d75	= 자동으로 코스가 선택됩니다
   d76	= 컵 순서대로 코스가 선택됩니다
   d77	= 매 배틀마다 스테이지를 선택합니다
   d78	= 자동으로 스테이지가 선택됩니다
   d79	= 순서대로 스테이지가 선택됩니다
   d7a	= 레이스 횟수
   d7b	= \z{a02,1000000001} 레이스
   d7c	= 승리 횟수
   d84	= \z{a02,1000000001}승
   d85	= 단체전
   d86	= 단체전
   d87	= 개인전
   d88	/
   d89	= 레이스 횟수를 설정합니다
   d8a	= 
   d8b	= 2팀으로 나눠 점수로 우승을 가립니다
   d8c	= 개인 점수로 종합 순위를 겨룹니다
   d8d	= 스테이지
   d8e	= VS를 마치겠습니까?
   d8f	= 배틀을 마치겠습니까?
   d90	= 이 규칙으로 레이스를 펼칩니다
   d91	= 이 규칙으로 배틀을 펼칩니다
   d92	= 레이스의 규칙을 설정합니다
   d93	= 배틀의 규칙을 설정합니다
   d94	/
   d98	= 아이템
   d99	= 기본
   d9a	= 다이나믹
   d9b	= 테크닉 중심
   d9c	= 없음
   d9d	= 각 아이템이 골고루 등장합니다
   d9e	= 강력한 아이템이 쉽게 등장합니다
   d9f	= 강력한 아이템은 좀처럼 안 나옵니다
   da0	= 아이템을 등장시키지 않습니다
   da1	/
   dac	= 팀 설정
   dad	= 블루\n
	+ 팀
   dae	= 레드\n
	+ 팀
   daf	= 팀 확인
   db0	= 이 팀으로 플레이합니다
   db1	= 멤버 확인
   db2	= \c{blue1}블루\n
	+ 팀
   db3	= \c{red2}레드\n
	+ 팀
   db4	= 모두 같은 팀으로 설정되었습니다.\n
	+ \n
	+ 다시 선택해 주십시오.
   db5	/
   dde	= 레이스를 시작합니다
   ddf	= 배틀을 시작합니다
   de0	= 대회를 시작합니다
   de1	/
   fa0	= 세계의 누군가와
   fa1	= 국내의 누군가와
   fa2	= 친구와
   fa3	= 고스트 배틀
   fa4	= 네트워크 설정
   fa5	/
   fa6	/
   fa7	/
   fa8	= 친구가 등록되지 않았습니다.\n
	+ \n
	+ 친구를 「친구 등록」하면\n
	+ 함께 플레이할 수 있습니다.
   fa9	/
   faa	= Wi-Fi 커넥션에 접속하고 있습니다
   fab	= Wi-Fi 커넥션을 종료하겠습니까?
   fac	= 예
   fad	= 아니요
   fae	/
   faf	/
   fb0	= 사용 중인 Mii의 닉네임은 Wi-Fi\n
	+ 커넥션에서 사용할 수 없습니다.\n
	+ \n
	+ Mii의 닉네임을 변경한 후\n
	+ 다시 접속해 주십시오.
   fb1	/
   fb2	= 멤버와의 접속이 종료되었습니다.
   fb3	= 친구 룸에서 나가겠습니까?
   fb4	= 친구 룸을 닫겠습니까?
   fb5	= 친구 룸을 연 사람과의\n
	+ 접속이 종료되었습니다.\n
	+ \n
	+ 친구 목록으로 돌아갑니다.
   fb6	= 친구와 합류하지\n
	+ 못했습니다.\n
	+ \n
	+ 잠시 후\n
	+ 다시 시도해 주십시오.
   fb7	/
   fb8	= 멤버 소개
   fb9	/
  1004	= 친구 룸
  1005	= 레이스 주최
  1006	= 친구와 합류하고 있습니다
  1007	/
  1008	/
  1009	/
  100a	= 대전 상대를 찾고 있습니다
  100b	= 대전 상대가 결정되었습니다!
  100c	= 친구를 기다리고 있습니다
  100d	= 마감
  100e	= 그랑프리 개인전으로 결정되었습니다!
  100f	= 그랑프리 단체전으로 결정되었습니다!
  1010	= 풍선 배틀!로 결정되었습니다!
  1011	= 코인을 모아라!로 결정되었습니다!
  1012	/
  1036	= 등록
  1037	= \z{802,120000} 님 친구 등록 부탁드려요!
  1038	= 새로 친구가 될 사람은 없나 봅니다
  1039	/
  103a	= \z{802,120000} 님 친구 등록했어요!
  103b	/
  1068	= 메시지
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\z{800,46}VR
  106b	= \z{a02,1000000000}\z{800,46}BR
  106c	= 잠시 기다려 주십시오
  106d	= 세계 VS
  106e	= 세계 배틀
  106f	= 국내 VS
  1070	= 국내 배틀
  10cc	= 플레이 방법을 선택해 주십시오
  10cd	= 잠시 기다려 주십시오
  10ce	= 플레이 방법이 결정되었습니다
  10cf	/
  10d0	/
  10d1	= VS
  10d2	= VS
  10d3	/
  10d4	= 배틀
  10d5	= 배틀
  10d6	= 세계 사람들과 함께 플레이합니다
  10d7	= 국내 사람들과 함께 플레이합니다
  10d8	= 친구와 함께 플레이합니다
  10d9	= 세계 각지의 고스트와 차례로 대전합니다
  10da	= 최대 12명이 모여 레이스를 펼칩니다
  10db	= 최대 6명 VS 6명이 배틀을 펼칩니다
  10dc	= 친구 룸을 만들어 멤버를 기다립니다
  10dd	= 친구 목록의 친구와 합류합니다
  10de	= 친구의 친구 코드를 등록합니다
  10df	/
  10e0	= 다음 레이스는 100cc입니다
  10e1	= 다음 레이스는 150cc입니다!
  10e2	= 다음 레이스는 미러입니다!!
  10e3	= \u{f069} 풍선 배틀!
  10e4	= \u{f068} 코인을 모아라!
  10e5	= 다음 레이스는 100cc입니다
  10e6	= 다음 레이스는 150cc입니다!
  10e7	= 다음 레이스는 미러입니다!!
  10e8	= 다음 레이스는 100cc입니다
  10e9	= 다음 레이스는 150cc입니다!
  10ea	= 다음 레이스는 미러입니다!!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= 코스를 선택하겠습니까?
  10ff	= 선택
  1100	= 랜덤
  1101	= ?
  1102	= 코스 투표
  1103	= 스테이지 투표
  1104	= 스테이지를 선택하겠습니까?
  1105	= 레이스를 준비 중입니다
  1106	= 배틀을 준비 중입니다
  1107	/
  1108	= 모두의 투표를 기다리고 있습니다
  1109	= 
  110a	= 코스가 결정되었습니다!
  110b	= 스테이지가 결정되었습니다!
  110c	/
  1112	= 멤버 전원에게 메시지를 보냅니다
  1113	= 메시지를 선택해 주십시오
  1114	= 멤버 모집을 마칩니다
  1115	= 플레이 방법을 선택해 주십시오
  1116	= 친구 등록 메시지를 보냅니다
  1117	= 특정 친구에게 메시지를 보냅니다
  1118	/
  1126	= 친구 코드를 등록해 주십시오
  1127	= 이 친구 코드를 등록합니다
  1128	= 친구와 함께 플레이합니다
  1129	= 친구 목록에서 삭제합니다
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= 저 들어왔어요!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= 통신 에러가 발생했습니다.\n
	+ 메인 메뉴로 돌아갑니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11f9	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11fa	= Wi-Fi 커넥션에 접속이 집중\n
	+ 되었거나 서비스가 정지되어\n
	+ 접속할 수 없습니다.\n
	+ 잠시 후 다시 시도해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11fb	= Wi-Fi 커넥션에 접속할 수\n
	+ 없습니다. 자세한 내용은\n
	+ 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11fc	= 본 소프트웨어의 Wi-Fi 커넥션\n
	+ 서비스는 종료되었습니다.\n
	+ 이용해 주셔서 감사합니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11fd	= Wi-Fi 커넥션에 접속할 수\n
	+ 없습니다. 자세한 내용은\n
	+ 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11fe	= Wi-Fi 커넥션에 접속이 집중\n
	+ 되었거나 서비스가 정지되어\n
	+ 접속할 수 없습니다.\n
	+ 잠시 후 다시 시도해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  11ff	= Wii 본체 저장 메모리의\n
	+ 빈 용량이 부족합니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1200	= Wii 본체 저장 메모리가 손상되어\n
	+ 있습니다. 자세한 내용은 Wii\n
	+ 본체의 사용설명서를 읽어 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1201	= 통신 에러로 인해\n
	+ 인터넷 접속이\n
	+ 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1202	= 다운로드에 실패했습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1203	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1204	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1205	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1206	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1207	= 통신 에러로 인해\n
	+ 인터넷 접속이 종료되었습니다.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1208	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  1209	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120a	= 인터넷에 접속할 수 없습니다.\n
	+ \n
	+ Wii 본체 설정에서 인터넷 설정을\n
	+ 확인해 주십시오.\n
	+ \n
	+ 에러 코드：\z{a02,1000000005}
  120b	= 인터넷에 접속할 수 없습니다.\n
	+ \n
