#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

   3e8	= 
   4ba	= ¡Enhorabuena!
   4bb [0] = ¡NUEVO RÉCORD!
   4bc	= Récord
   4bd	= Mejor vuelta
   4be	= \c{red2}¡GANA EL ROJO!
   4bf	= \c{blue1}¡GANA EL AZUL!
   4c0	= \c{red2}¡VICTORIA ROJA!
   4c1	= \c{blue1}¡VICTORIA AZUL!
   4c2	= EMPATE
   4c3	= ¡ENHORABUENA!
   4c4	= ¡ENHORABUENA!
   4c5	= ¡ENHORABUENA!
   4c6	= ¡OTRA VEZ SERÁ!
   4c7	= \c{red2}¡PIERDE EL ROJO!
   4c8	= \c{blue1}¡PIERDE EL AZUL!
   4c9	= \c{red2}¡PIERDE EL ROJO!
   4ca	= \c{blue1}¡PIERDE EL AZUL!
   4cb	= 
   515	= 1.º
   516	= 2.º
   517	= 3.º
   518	= 4.º
   519	= 5.º
   51a	= 6.º
   51b	= 7.º
   51c	= 8.º
   51d	= 9.º
   51e	= 10.º
   51f	= 11.º
   520	= 12.º
   521	= \z{c04,5240525}
   522	= \z{a02,1000000000}
   523	= \z{a02,1600000000}
   524	=  pto.
   525	=  ptos.
   526	= \z{c04,5270528}
   527	= \c{red2}victoria
   528	= \c{red2}victorias
   529	= \z{c04,52a052b}
   52a	= \c{blue1}victoria
   52b	= \c{blue1}victorias
   52c	= \z{c04,52d052e}
   52d	= \c{red2}pto.
   52e	= \c{red2}ptos.
   52f	= \z{c04,5300531}
   530	= \c{blue1}pto.
   531	= \c{blue1}ptos.
   532	= Victorias: \z{a02,1000000000} - Derrotas: \z{a02,1000010000}
   533	= Victorias: \z{a02,1000000000} - Derrotas: \z{a02,1000010000}
   534	= \c{red2}\z{802,110000}
   535	= \c{blue1}\z{802,110000}
   536	= TIEMPO
   537	= VUELTA
   538	= MARCADOR
   539	= DIRECTO
   53a	= Te unirás a la siguiente carrera.\n
	+ Núm. de jugadores previsto: \z{a02,1000000000}\n
	+ Espera un momento...
   53b	= Te unirás a la siguiente batalla.\n
	+ Núm. de jugadores previsto: \z{a02,1000000000}\n
	+ Espera un momento...
   53c	= \n
	+ Se han establecido los resultados.\n
	+ La carrera ha terminado.
   53d	= \n
	+ Han pasado 5 minutos.\n
	+ La carrera ha terminado.
   53e	= Han pasado 30 segundos desde\n
	+ que el ganador cruzó la línea\n
	+ de meta. La carrera ha terminado.
   53f	= 
   540	= 
   541	= \u{f06d}
   578	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
   579	= --:--.---
   57a	= :
   57b	= .
   57c	= 
   581	= Carrera VS. en equipo \z{802,110000} \z{a02,1000000000}/
	+ \z{a02,1000010000}
   582	= \z{802,110001} \z{802,110000} - Primera carrera
   583	= \z{802,110001} \z{802,110000} - Segunda carrera
   584	= \z{802,110001} \z{802,110000} - Tercera carrera
   585	= \z{802,110001} \z{802,110000} - Última carrera
   586	= Carrera VS. \z{802,110000} - \z{a02,1000000000} de \z{a02,1000010000}
   587	= Batalla de globos
   588	= Carrera de monedas

#--- [589:58c] engines
   589	= 50cc
   58a	= 100cc
   58b	= 150cc
   58c	= Espejo

   58d	= \z{802,110001} \z{802,110000}
   58e	= Carrera VS. \z{802,110000}\040
   58f	= Clase:
   590	= \u{f063}
   591	= \u{f062}
   592	= \u{f061}
   593	= \u{f078}　
   594	= \u{f079}
   595	= \u{f07a}
   596	= \u{f07b}　
   597	= \u{f07c}
   598	= F
   599	= Grand Prix \z{802,110000}
   59a	= Grand Prix en equipo \z{802,110000}
   59b	= Carrera VS. en equipo \z{802,110000}
   59c	/
   59d	/
   59e	/
   59f	/
   5a0	= Carrera VS. \z{802,110000} \z{802,110001}
   5a1	= \z{802,110002}Grand Prix \z{802,110000} - 1.ª carrera
   5a2	= \z{802,110002}Grand Prix \z{802,110000} - 2.ª carrera
   5a3	= \z{802,110002}Grand Prix \z{802,110000} - 3.ª carrera
   5a4	= \z{802,110002}Grand Prix \z{802,110000} - Última carrera
   5a5	= \z{802,110002}Batalla de globos
   5a6	= \z{802,110002}Carrera de monedas
   5a7	= (\z{a02,1000000000} jugadores)
   5a8	= 
   5a9	= \c{red2}
   5aa	= \c{blue1}
   5ab	= 
   5dc	= Usar objeto
   5dd	= Girar
   5de	= Acelerar
   5df	= Frenar / Derrapar
   5e0	= Frenar
   5e1	= 

