#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Ciao!
  M85	= È stato divertente!
  M86	= È così emozionante!
  M87	= Grrr! Non vale!
  M88	= La prossima volta vincerò io!
  M89	= Giochiamo di nuovo!
  M90	= Non finisce qui!
  M91	= Ancora una partita e basta!
  M92	= Sto per andarmene...
  M93	= Grazie della bella partita!
  M94	= Grazie!
  M95	= Buona notte!
  M96	= Ci vediamo dopo!

#--- other messages

     1	/

27e8  = \z{a02,1000000001}

   7d0	= OK
   7d1	= ←\z{802,170000}Indietro
   7d2	= Sì
   7d3	= No
   7d4	/
   7d5	= →
   7d6	/
   7d7	= ←
   7d8	/
   7d9	= \z{a02,1000000000}/\z{a02,1000010000}
   7da	= Mario Kart Wii
   7db	= Un giocatore
   7dc	= Più giocatori
   7dd	= Nintendo WFC
   7de	= Canale Mario Kart
   7df	= Impostazioni patenti
   7e0	= Record
   7e1	= Premi il pulsante A
   7e2	= Menu principale
   7e3	/
   7e4	= Gran premio e molto altro per un giocatore!
   7e5	= Corse e battaglie per due giocatori!
   7e6	= Corse e battaglie per tre giocatori!
   7e7	= Corse e battaglie per quattro giocatori!
   7e8	= Gioca nella Nintendo WFC!
   7e9	= Gioca con un amico nella Nintendo WFC!
   7ea	= Controlla classifiche ed eventi!
   7eb	= Controlla i tuoi dati e cambia Mii!
   7ec	/
   7ed	/
   7ee	= Più giocatori (2G)
   7ef	= Più giocatori (3G)
   7f0	= Più giocatori (4G)
   7f1	= Nintendo WFC (1G)
   7f2	= Nintendo WFC (2G)
   7f3	/
   802	= Inserisci il disco di Mario Kart\n
	+ Wii nella console Wii e aspetta\n
	+ che il gioco venga caricato.
   803	= Impossibile leggere il disco.\n
	+ Per maggiori informazioni, consulta il\n
	+ manuale di istruzioni della console Wii.
   804	= Si è verificato un errore.\n
	+ \n
	+ Premi il pulsante EJECT, estrai\n
	+ il disco e spegni la console. Per\n
	+ maggiori informazioni, consulta il\n
	+ manuale di istruzioni della console Wii.
   805	= Non c'è abbastanza spazio libero nella\n
	+ memoria della console Wii. Blocchi\n
	+ liberi necessari: 23. Per creare spazio,\n
	+ vai allo schermo Gestione dati e\n
	+ cancella alcuni dati o trasferiscili\n
	+ in una scheda SD.
   806	= La memoria della console Wii è\n
	+ danneggiata. Per maggiori informazioni,\n
	+ consulta il manuale di istruzioni\n
	+ della console Wii.
   807	= Il file non può essere usato perché\n
	+ i dati sono danneggiati.\n
	+ \n
	+ Vuoi cancellare il file e\n
	+ crearne uno nuovo?
   808	/
   809	= Impossibile leggere o modificare i dati\n
	+ all'interno della memoria della console\n
	+ Wii. Per maggiori informazioni, consulta\n
	+ il manuale di istruzioni della console Wii.
   80a	= Ora tornerai al menu Wii.
   80b	= Prosegui senza salvare.
   80c	= Torna al menu Wii
   80d	= Non puoi selezionare questo menu perché\n
	+ non sono presenti dati di salvataggio.
   80e	= Non è stato trovato nessun file di salvataggio.\n
	+ Inserisci il disco di Mario Kart Wii.
   80f	= Avvia il disco
   810	= Tornerai al menu Wii.\n
	+ Va bene?
   811	= Salvataggio in corso.\n
	+ Non toccare il pulsante POWER\n
	+ o il pulsante RESET.
   812	= Impossibile caricare i dati del\n
	+ Canale Mii. Vai al Canale Mii\n
	+ per verificare i dati.
   813	= Fai attenzione, perché se\n
	+ cancelli questo Mii nel\n
	+ Canale Mii, sarà cancellato\n
	+ anche in Mario Kart Wii.
   814	= È stata creata una patente\n
	+ usando un Mii ospite.\n
	+ \n
	+ Per creare nuovi Mii,\n
	+ vai al Canale Mii.
   815	= Non è stato possibile inviare i dati\n
	+ fantasma come sfida. Puoi inviare fino\n
	+ a 5 sfide ad ogni sessione di gioco.\n
	+ \n
	+ Aspetta la prossima volta che giochi\n
	+ a Mario Kart Wii per inviare altri\n
	+ dati fantasma come sfida.
   816	= Impossibile collegarsi alla Nintendo\n
	+ Wi-Fi Connection. Non sono presenti\n
	+ dati di salvataggio.\n
	+ \n
	+ Per gestire i dati nella memoria della\n
	+ console Wii, accedi alle Opzioni Wii\n
	+ e vai allo schermo Gestione dati.
   817	= Non c'è abbastanza spazio libero\n
	+ nella memoria della console Wii.\n
	+ Per creare spazio, vai allo schermo\n
	+ Gestione dati e cancella alcuni dati\n
	+ o trasferiscili in una scheda SD.
   818	= Il collegamento alla Nintendo WFC verrà\n
	+ interrotto e tornerai al menu principale.
   819	= Il paese scelto nelle Impostazioni console\n
	+ Wii è stato cambiato e sarà necessario\n
	+ creare nuovi dati di salvataggio.\n
	+ Se non vuoi sovrascrivere i dati di\n
	+ salvataggio già presenti, torna al menu\n
	+ Wii e ripristina l'impostazione precedente.
   81a	= Crea nuovi dati
   81b	/
   834	/
   835	= Sarà creata una nuova patente\n
	+ per Mario Kart Wii.
   836	= Nuova patente
   837	= Cancella patente
   838	= Seleziona patente
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= Sarà creata una nuova patente per\n
	+ \z{802,120000}.\n
	+ Va bene?
   840	= Il Mii di questa patente diventerà\n
	+ \z{802,120000}.\n
	+ Va bene?
   841	= \z{602,0} e \z{802,120000}\n
	+ si collegheranno insieme alla\n
	+ Nintendo WFC. Va bene?
   842	/
   848	= Record
   849	= Guarda i record di \z{602,0}.
   84a	= Cambia il Mii di questa patente.
   84b	= Seleziona Mii
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Cancella la patente di \z{602,0}.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Chiudi
   858	/
   866	/
   867	= La tua nuova patente è pronta.
   868	= Sarà cancellata la patente di\n
	+ \z{602,0}.\n
	+ Va bene?
   869	= La patente di \z{602,0} è\n
	+ stata cancellata.
   86a	/
   86b	= Il Mii di questa patente è cambiato.
   86c	/
   86d	= Cancellazione patente in corso...
   86e	= Cancellerai tutti i dati associati\n
	+ a questa patente, inclusi la lista\n
	+ amici e i dati fantasma. Va bene?
   86f	/
   898	= Cambia Mii
   899	= Seleziona Mii
   89a	= Console Wii
   89b	= Ospite
   89c	/
   89d	= Il Mii di questa patente\n
	+ è stato cancellato dal Canale Mii.\n
	+ \n
	+ Seleziona un altro Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Le batterie sono quasi scariche.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\n
	+ \z{800,32}giocatore
   8fe	= 2\n
	+ \z{800,32}giocatori
   8ff	= 3\n
	+ \z{800,32}giocatori
   900	= 4\n
	+ \z{800,32}giocatori
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Registra controller
   962	= Premi il pulsante A sul controller del giocatore 2.
   963	= Premi il pulsante A sul controller del giocatore 3.
   964	= Premi il pulsante A sul controller del giocatore 4.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= Va bene così?
   9c5	= Cambia
   9c6	= Premi il pulsante A sul controller del giocatore 1.
   9c7	= Premi il pulsante A sul controller del giocatore 2.
   9c8	= Premi il pulsante A sul controller del giocatore 3.
   9c9	= Premi il pulsante A sul controller del giocatore 4.
   9ca	= Questi sono i controller che saranno utilizzati.
   9cb	= Cambia i controller.
   9cc	= \z{802,110000}Aggiungi
   9cd	= Premi insieme \u{f043} e \u{f030}.
   9ce	= \z{802,110000}OK
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= Vuoi installare il Canale\n
	+ Mario Kart nel tuo menu Wii?\n
	+ Per installare questo canale\n
	+ occorrono \z{a02,1000000000} blocchi liberi.
   a29	= Sì
   a2a	= No
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Installa il Canale Mario Kart
   a30	= Puoi installare il Canale Mario\n
	+ Kart sul tuo menu Wii, così da\n
	+ potervi accedere senza dover\n
	+ inserire il disco di Mario Kart Wii!
   a31	= Il Canale Mario Kart è già\n
	+ installato in questo menu Wii.
   a32	= Non c'è abbastanza spazio libero\n
	+ nella memoria della console Wii.\n
	+ Blocchi liberi necessari: \z{a02,1000000000}.\n
	+ Per creare spazio, vai allo schermo\n
	+ Gestione dati e cancella alcuni dati\n
	+ o trasferiscili in una scheda SD.
   a33	= Non c'è abbastanza spazio libero\n
	+ nella memoria della console Wii.\n
	+ Per creare spazio, vai allo schermo\n
	+ Gestione dati e cancella alcuni dati\n
	+ o trasferiscili in una scheda SD.
   a34	= Nel menu Wii non c'è abbastanza spazio.\n
	+ Vai alla Gestione dati e cancella alcuni\n
	+ canali o trasferiscili in una scheda SD.
   a35	= La memoria della console Wii\n
	+ è danneggiata. Per maggiori\n
	+ informazioni, consulta il manuale\n
	+ di istruzioni della console Wii.
   a36	/
   bb8	= Gran premio
   bb9	= Prova a tempo
   bba	= Corsa sfida
   bbb	= Battaglia
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}Solo kart
   bbf	= 100cc\n
	+ \z{800,32}Solo moto
   bc0	= 150cc\n
	+ \z{800,32}Kart e moto
   bc1	= Speculare\n
	+ \z{800,32}Kart e moto
   bc2	= 50cc\n
	+ \z{800,32}Kart e moto
   bc3	= 100cc\n
	+ \z{800,32}Kart e moto
   bc4	= \z{802,110000}Cambia
   bc5	/
   bea	= Una competizione per il primato su quattro percorsi!
   beb	= Corri da solo e cerca di realizzare il miglior tempo!
   bec	= Gareggia con le tue impostazioni preferite!
   bed	= Gareggiate con le vostre impostazioni preferite!
   bee	= Forma due squadre e dai inizio alla battaglia!
   bef	= Formate due squadre e date inizio alla battaglia!
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= Un Gran premio per principianti (solo kart).
   bf5	= Un Gran premio standard (solo moto).
   bf6	= Un Gran premio per veri assi (kart e moto).
   bf7	= Un Gran premio visto allo specchio (kart e moto).
   bf8	= Un Gran premio per principianti (kart e moto).
   bf9	= Un Gran premio standard (kart e moto).
   bfa	/
   c1c	= Prova a tempo
   c1d	= Non ci sono dati fantasma per questo percorso.
   c1e	/
   c1f	= Classifiche
   c20	/
   c80	= Tipo di battaglia
   c81	= Battaglia palloncini
   c82	= Corsa per le monete
   c83	/
   c84	/
   cb2	= Vince chi fa scoppiare più palloncini.
   cb3	= Vince chi raccoglie più monete.
   cb4	/
   cb5	/
   ce9	= Derapata
   cea	= Automatica
   ceb	= Manuale
   cec	= Aiuto
   ced	= ■ Derapata ■\n
	+ Derapando puoi curvare senza perdere velocità.\n
	+ \n
	+ ■ Derapata automatica ■\n
	+ Derapi automaticamente quando curvi.\n
	+ \z{802,170000}Non puoi saltare né usare i miniturbo.\n
	+ \n
	+ ■ Derapata manuale ■\n
	+ 1. \z{802,170000}Salta mentre curvi per iniziare a derapare.\n
	+ 2. Mantieni la derapata per caricare un miniturbo.\n
	+ 3. Rilascia il pulsante per usare il miniturbo.
   cee	= Consulta una descrizione delle modalità di derapata.
   cef	= Velocità
   cf0	= Peso
   cf1	= Accelerazione
   cf2	= Maneggevolezza
   cf3	= Derapata
   cf4	= Fuori pista
   cf5	= Miniturbo
   cf6	/
   d16	= Derapata automatica (senza miniturbo).
   d17	= Derapata manuale (con miniturbo).
   d18	/
   d20	= \z{802,110000}　Coppa: \z{802,110001}　Voto: \z{802,110002}
   d21	= Prova a tempo
   d22	= \z{802,110000}
   d23	= Corsa sfida \z{802,110000}
   d24	= \u{f069} Battaglia palloncini
   d25	= \u{f068} Corsa per le monete
   d26	= Corsa sfida a squadre \z{802,110000}
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	=  　
   d37	/
   d38	/
   d48	= Regole
   d49	= Classe
   d4a	= Personaggi
   d4b	= Veicoli
   d4c	= Trofei
   d4d	= Percorsi
   d4e	= Livelli
   d4f	= Fantasmi
   d50	= Battaglia
   d51	= Corsa sfida
   d52	= Classe
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= Speculare
   d57	= Veicoli da 50cc per principianti.
   d58	= Veicoli da 100cc per piloti esperti.
   d59	= Veicoli da 150cc per veri assi.
   d5a	= Percorsi visti allo specchio, classe 150cc.
   d5c	= CPU
   d5d	= Facile
   d5e	= Normale
   d5f	= Difficile
   d60	= Nessuno
   d61	= Gli avversari CPU non sono molto forti.
   d62	= Gli avversari CPU sono abbastanza forti.
   d63	= Gli avversari CPU sono molto forti.
   d64	= Corsa senza avversari CPU.
   d66	= Veicoli
   d67	= Kart
   d68	= Moto
   d69	= Tutti
   d6a	= I concorrenti CPU usano solo i kart.
   d6b	= I concorrenti CPU usano solo le moto.
   d6c	= I concorrenti CPU usano kart e moto.
   d6d	= I concorrenti CPU usano solo i kart.
   d6e	= I concorrenti CPU usano solo le moto.
   d6f	= I concorrenti CPU usano kart e moto.
   d70	= Percorsi
   d71	= Scegli
   d72	= A caso
   d73	= In ordine
   d74	= Scegli il percorso ogni volta.
   d75	= I percorsi sono scelti a caso.
   d76	= Affronta i percorsi in ordine per trofeo.
   d77	= Scegli il livello ad ogni battaglia.
   d78	= Livelli scelti a caso.
   d79	= Livelli giocati in ordine.
   d7a	= Corse
   d7b	= \z{a02,1000000001}
   d7c	= Vittorie
   d84	= \z{a02,1000000001}
   d85	= Squadre
   d86	= Corsa a squadre
   d87	= Corsa individuale
   d88	/
   d89	= Imposta il numero di corse.
   d8a	= Imposta il numero di vittorie necessarie per vincere.
   d8b	= Due squadre in corsa per il maggior numero di punti.
   d8c	= Vince chi ha più punti.
   d8d	= Livelli
   d8e	= Vuoi abbandonare\n
	+ questa Corsa sfida?
   d8f	= Vuoi abbandonare\n
	+ questa Battaglia?
   d90	= Corri con queste regole.
   d91	= Affronta le battaglie con queste regole.
   d92	= Imposta le regole delle corse.
   d93	= Imposta le regole delle battaglie.
   d94	/
   d98	= Oggetti
   d99	= Standard
   d9a	= Devastanti
   d9b	= Tranquilli
   d9c	= Nessuno
   d9d	= Tutti gli oggetti appaiono con pari frequenza.
   d9e	= Gli oggetti più potenti appaiono più spesso.
   d9f	= Gli oggetti più potenti appaiono più raramente.
   da0	= Non apparirà nessun oggetto.
   da1	/
   dac	= Scelta squadra
   dad	= Squadra\n
	+ blu
   dae	= Squadra\n
	+ rossa
   daf	= Squadre
   db0	= Gioca con queste squadre.
   db1	= Partecipanti
   db2	= \c{blue1}Squadra\n
	+ blu
   db3	= \c{red2}Squadra\n
	+ rossa
   db4	= Tutti i giocatori sono nella stessa squadra.\n
	+ \n
	+ Scegli di nuovo.
   db5	/
   dde	= Vuoi iniziare?
   ddf	= Vuoi iniziare?
   de0	= Vuoi iniziare?
   de1	/
   fa0	= Mondiale
   fa1	= Continentale
   fa2	= Amici
   fa3	= Corsa fantasma
   fa4	= Nintendo Wi-Fi Connection
   fa5	/
   fa6	/
   fa7	/
   fa8	= La tua lista amici è vuota.\n
	+ \n
	+ Registra i tuoi amici\n
	+ per poter giocare con loro\n
	+ sulla Nintendo WFC.
   fa9	/
   faa	= Collegamento alla Nintendo WFC in corso...
   fab	= Vuoi interrompere il collegamento\n
	+ alla Nintendo WFC?
   fac	= Sì
   fad	= No
   fae	/
   faf	/
   fb0	= Impossibile accedere alla Nintendo WFC\n
	+ con il nome attualmente assegnato al Mii.\n
	+ Cambia il nome del Mii e riprova.
   fb1	/
   fb2	= La connessione con gli altri\n
	+ giocatori è stata interrotta.
   fb3	= Vuoi lasciare la stanza?
   fb4	= Vuoi chiudere la stanza?
   fb5	= La connessione alla stanza creata\n
	+ dal giocatore principale è stata\n
	+ interrotta. Tornerai alla tua lista amici.
   fb6	= Non è stato possibile\n
	+ entrare in questa stanza.\n
	+ \n
	+ Riprova più tardi.
   fb7	/
   fb8	= Squadre
   fb9	/
  1004	= Stanza
  1005	= Crea una stanza
  1006	= Stai per unirti al tuo amico...
  1007	/
  1008	/
  1009	/
  100a	= Ricerca giocatori in corso...
  100b	= I giocatori sono stati scelti!
  100c	= In attesa dei tuoi amici...
  100d	= Avvia
  100e	= Faremo un Gran premio!
  100f	= Faremo un Gran premio a squadre!
  1010	= Faremo una Battaglia palloncini!
  1011	= Faremo una Corsa per le monete!
  1012	/
  1036	= Registra
  1037	= \z{802,120000}, ora siamo amici!
  1038	= Non ci sono giocatori con cui fare amicizia.
  1039	/
  103a	= \z{802,120000}, ora sei nella mia lista amici!
  103b	/
  1068	= Messaggi
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\n
	+ \z{800,46}Punti Corsa
  106b	= \z{a02,1000000000}\n
	+ \z{800,46}Punti Battaglia
  106c	= Attendi...
  106d	= Corsa sfida mondiale
  106e	= Battaglia mondiale
  106f	= Corsa sfida continentale
  1070	= Battaglia continentale
  10cc	= Scegli una modalità.
  10cd	= Aspetta un attimo...
  10ce	= La modalità di gioco è stata scelta.
  10cf	/
  10d0	/
  10d1	= Corsa sfida
  10d2	= Corsa sfida
  10d3	/
  10d4	= Battaglia
  10d5	= Battaglia
  10d6	= Gioca con persone sparse per il mondo.
  10d7	= Gioca con persone del tuo stesso continente.
  10d8	= Gioca con i tuoi amici.
  10d9	= Corri contro dati fantasma di giocatori da tutto il mondo.
  10da	= Una corsa con un massimo di 12 partecipanti!
  10db	= Battaglie tra un massimo di 6 giocatori contro 6!
  10dc	= Crea una stanza e gioca con i tuoi amici.
  10dd	= Controlla cosa stanno facendo i tuoi amici.
  10de	= Registra un nuovo codice amico.
  10df	/
  10e0	= La prossima corsa è di classe 100cc!
  10e1	= La prossima corsa è a 150cc!
  10e2	= La prossima corsa è in modalità Speculare!
  10e3	= \u{f069} Battaglia palloncini
  10e4	= \u{f068} Corsa per le monete
  10e5	= La prossima corsa è a 100cc!
  10e6	= La prossima corsa è a 150cc!
  10e7	= La prossima corsa è in modalità Speculare!
  10e8	= La prossima corsa è a 100cc!
  10e9	= La prossima corsa è a 150cc!
  10ea	= La prossima corsa è in modalità Speculare!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= Vuoi votare per il prossimo percorso?
  10ff	= Vota
  1100	= Casuale
  1101	= ?
  1102	= Sorteggio percorso
  1103	= Sorteggio livello
  1104	= Vuoi votare per un livello?
  1105	= Preparazione corsa...
  1106	= Preparazione battaglia...
  1107	/
  1108	= In attesa che tutti scelgano...
  1109	= 
  110a	= Il percorso è stato scelto!
  110b	= Il livello è stato scelto!
  110c	/
  1112	= Invia un messaggio a tutti i presenti nella stanza.
  1113	= Scegli un messaggio.
  1114	= Inizia a giocare con questi giocatori.
  1115	= Scegli il tipo di gioco.
  1116	= Fai amicizia con altre persone.
  1117	= Il messaggio sarà inviato solo alla persona che vuoi invitare.
  1118	/
  1126	= Registra un codice amico.
  1127	= Registra questo codice amico.
  1128	= Gioca con i tuoi amici.
  1129	= Questo codice amico verrà cancellato.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= Eccomi qui!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= Si è verificato un errore di comunicazione.\n
	+ Tornerai al menu principale.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11f9	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11fa	= La Nintendo Wi-Fi Connection sta registrando\n
	+ un alto volume di traffico o il servizio è\n
	+ momentaneamente interrotto. Riprova più\n
	+ tardi. Per informazioni, visita il sito Internet\n
	+ support.nintendo.com\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11fb	= Impossibile collegarsi alla Nintendo Wi-Fi\n
	+ Connection. Per informazioni, consulta il\n
	+ manuale di istruzioni del software o visita il\n
	+ sito Internet support.nintendo.com\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11fc	= Il servizio Nintendo Wi-Fi Connection per questo\n
	+ software non è più disponibile. Visita il sito\n
	+ Internet support.nintendo.com per una lista\n
	+ dei software compatibili con la Nintendo\n
	+ Wi-Fi Connection.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11fd	= Impossibile collegarsi alla Nintendo Wi-Fi\n
	+ Connection. Per informazioni, consulta il\n
	+ manuale di istruzioni del software o visita il\n
	+ sito Internet support.nintendo.com\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11fe	= La Nintendo Wi-Fi Connection sta registrando\n
	+ un alto volume di traffico o il servizio è\n
	+ momentaneamente interrotto. Riprova più\n
	+ tardi. Per informazioni, visita il sito Internet\n
	+ support.nintendo.com\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  11ff	= Non c'è abbastanza spazio libero nella\n
	+ memoria della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1200	= La memoria della console Wii è\n
	+ danneggiata. Per maggiori informazioni,\n
	+ consulta il manuale di istruzioni\n
	+ della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1201	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1202	= Il download non è riuscito. Riprova. Per informazioni,\n
	+ visita il sito Internet support.nintendo.com\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1203	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1204	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1205	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1206	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1207	= La connessione si è interrotta durante\n
	+ la trasmissione dei dati.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1208	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1209	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120a	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120b	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120c	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120d	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120e	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  120f	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1210	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1211	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1212	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1213	= Impossibile connettersi a Internet.\n
	+ Controlla le impostazioni di collegamento\n
	+ a Internet della console Wii.\n
	+ \n
	+ Codice errore: \z{a02,1000000005}
  1214	= Impossibile connettersi a Internet.\n
