#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= ¡Hola!
   817	= No hay suficiente espacio libre\n
	+ en la memoria de la consola Wii.\n
	+ Transfiere datos a una tarjeta SD\n
	+ o borra los que no necesites en\n
	+ la pantalla de gestión de datos.
   818	= Te vas a desconectar de la CWF de\n
	+ Nintendo y volverás al menú principal.
   819	= Ha cambiado la configuración de país,\n
	+ por lo que se tienen que crear nuevos datos\n
	+ de guardado. Si no deseas perder los datos \n
	+ existentes, vuelve al menú de Wii y restablece\n
	+ la anterior configuración de país.
   81a	= Crear nuevos datos de guardado
   81b	/
   834	/
   835	= Se va a tramitar un carné \n
	+ nuevo de Mario Kart Wii.
   836	= Tramitar carné
   837	= Cancelar carné
   838	= Seleccionar carné
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= Se va a tramitar un carné\n
	+ para \z{802,120000}.\n
	+ \n
	+ ¿Estás de acuerdo?
   840	= \z{802,120000} será el \n
	+ nuevo Mii de este carné.\n
	+ ¿Estás de acuerdo?
   841	= \z{602,0} y \z{802,120000}\n
	+ se conectarán juntos a la CWF\n
	+ de Nintendo. ¿Estás de acuerdo?
   842	/
   848	= Resultados
   849	= Consulta los resultados de \z{602,0}.
   84a	= Cambia el Mii de este carné.
   84b	= Elegir Mii
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Cancela el carné de \z{602,0}.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Cerrar
   858	/
   866	/
   867	= ¡He aquí el carné!
   868	= ¿Seguro que quieres cancelar \n
	+ el carné de \z{602,0}?\n
   869	= El carné de \z{602,0}\n
	+ se ha cancelado.
   86a	/
   86b	= El Mii de este carné ha cambiado.
   86c	/
   86d	= Cancelando carné...
   86e	= También se borrarán la lista de amigos \n
	+ y los corredores fantasma de este carné.\n
	+ \n
	+ ¿Estás de acuerdo?
   86f	/
   898	= Cambiar Mii
   899	= Elegir Mii
   89a	= Consola Wii
   89b	= Invitado
   89c	/
   89d	= El Mii para este carné se ha \n
	+ eliminado del Canal Mii.\n
	+ \n
	+ Elige otro Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Las pilas están a punto\n
	+ de agotarse.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1 \n
	+ \z{800,32}jugador
   8fe	= 2 \n
	+ \z{800,32}jugadores
   8ff	= 3 \n
	+ \z{800,32}jugadores
   900	= 4 \n
	+ \z{800,32}jugadores
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Registrar mandos
   962	= Pulsa el Botón A del mando del jugador 2.
   963	= Pulsa el Botón A del mando del jugador 3.
   964	= Pulsa el Botón A del mando del jugador 4.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= ¿Seguro?
   9c5	= Cambiar
   9c6	= Pulsa el Botón A del mando del jugador 1.
   9c7	= Pulsa el Botón A del mando del jugador 2.
   9c8	= Pulsa el Botón A del mando del jugador 3.
   9c9	= Pulsa el Botón A del mando del jugador 4.
   9ca	= Utiliza estos mandos.
   9cb	= Cambia los mandos.
   9cc	= \z{802,110000}Añadir mando de Wii
   9cd	= Pulsa \u{f043} y \u{f030} a la vez.
   9ce	= \z{802,110000}Vale
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}Vale
   9fc	= \c{blue2}Vale
   9fd	= \c{red3}Vale
   9fe	= \c{green}Vale
   9ff	/
   a28	= ¿Quieres añadir el Canal Mario \n
	+ Kart a tu menú de Wii? Bloques \n
	+ libres necesarios: \z{a02,1000000000}.
   a29	= Sí
   a2a	= No
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Añadir el Canal Mario Kart\040
   a30	= Si añades el Canal Mario Kart a tu menú de \n
	+ Wii, podrás acceder al canal sin tener que\n
	+ insertar el disco de Mario Kart Wii.
   a31	= El Canal Mario Kart ya se ha añadido \n
	+ a tu menú de Wii.
   a32	= No hay suficiente espacio libre en\n
	+ la memoria de la consola Wii.\n
	+ Bloques libres necesarios: \z{a02,1000000000}.\n
	+ Transfiere datos a una tarjeta SD\n
	+ o borra los que no necesites en\n
	+ la pantalla de gestión de datos.
   a33	= No hay suficiente espacio libre\n
	+ en la memoria de la consola Wii.\n
	+ Transfiere datos a una tarjeta SD\n
	+ o borra los que no necesites en\n
	+ la pantalla de gestión de datos.
   a34	= No hay suficiente espacio libre en el \n
	+ menú de Wii. Transfiere canales a una \n
	+ tarjeta SD o borra los que no necesites \n
	+ en la pantalla de gestión de datos.
   a35	= La memoria de la consola Wii contiene \n
	+ datos dañados. Consulta el manual de \n
	+ instrucciones de la consola Wii para \n
	+ obtener más información.
   a36	/
   bb8	= Grand Prix
   bb9	= Contrarreloj
   bba	= Carrera VS.
   bbb	= Batalla
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}Solo karts
   bbf	= 100cc\n
	+ \z{800,32}Solo motos
   bc0	= 150cc\n
	+ \z{800,32}Karts y motos
   bc1	= Espejo\n
	+ \z{800,32}Karts y motos
   bc2	= 50cc\n
	+ \z{800,32}Karts y motos
   bc3	= 100cc\n
	+ \z{800,32}Karts y motos
   bc4	= \z{802,110000}Cambiar
   bc5	/
   bea	= ¡Compite por el primer puesto en cuatro circuitos!
   beb	= ¡Establece una nueva plusmarca en solitario!
   bec	= ¡Compite según tus reglas!
   bed	= ¡Compite según tus reglas!
   bee	= ¡Batalla en equipos!
   bef	= ¡Batalla en equipos!
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= Grand Prix para principiantes (solo karts).
   bf5	= Grand Prix para iniciados (solo motos).
   bf6	= Grand Prix para expertos (karts y motos).
   bf7	= Grand Prix en el modo Espejo (karts y motos).
   bf8	= Grand Prix para principiantes (karts y motos).
   bf9	= Gran Prix para iniciados (karts y motos).
   bfa	/
   c1c	= Contrarreloj
   c1d	= No hay corredores fantasma para este circuito.
   c1e	/
   c1f	= Clasificaciones
   c20	/
   c80	= Tipo de batalla
   c81	= Batalla de globos
   c82	= Carrera de monedas
   c83	/
   c84	/
   cb2	= ¡Revienta los globos del equipo contrario!
   cb3	= ¡Recoge todas las monedas que puedas!
   cb4	/
   cb5	/
   ce9	= Modo Derrape
   cea	= Automático
   ceb	= Manual
   cec	= Ayuda
   ced	= ■ Derrape ■\n
	+ Toma las curvas sin reducir la velocidad.\n
	+ \n
	+ ■ Derrape automático ■\n
	+ Derrapas automáticamente \n
	+ al girar, sin \z{802,170000}saltos \n
	+ ni miniturbos.\n
	+ \n
	+ ■ Derrape manual ■\n
	+ \z{802,170000}Salta al girar y derrapa \n
	+ para activar un miniturbo.
   cee	= Obtén información sobre los diferentes tipos de derrape.
   cef	= Velocidad
   cf0	= Peso
   cf1	= Aceleración
   cf2	= Manejo
   cf3	= Derrape
   cf4	= Todoterreno
   cf5	= Miniturbo
   cf6	/
   d16	= Derrape automático (sin miniturbo).
   d17	= Derrape manual (con miniturbo).
   d18	/
   d20	= \z{802,110000}　Trofeo: \z{802,110001}　Clase: \z{802,110002}
   d21	= Contrarreloj
   d22	= \z{802,110000}
   d23	= Carrera VS. \z{802,110000}
   d24	= \u{f069} Batalla de globos
   d25	= \u{f068} Carrera de monedas
   d26	= Carrera VS. en equipo \z{802,110000}
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	= 
   d37	/
   d38	/
   d48	= Reglas
   d49	= Cilindradas
   d4a	= Personajes
   d4b	= Vehículos
   d4c	= Copas
   d4d	= Circuitos
   d4e	= Escenarios
   d4f	= Elegir corredor fantasma
   d50	= Batalla
   d51	= Carrera VS.
   d52	= Categoría
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= Espejo
   d57	= Categoría de 50cc para principiantes.
   d58	= Categoría de 100cc para iniciados.
   d59	= Categoría de 150cc para expertos.
   d5a	= Categoría de 150cc con circuitos en modo Espejo.
   d5c	= CPU
   d5d	= Fácil
   d5e	= Normal
   d5f	= Difícil
   d60	= Desactivado
   d61	= Las CPU tienen un nivel bajo.
   d62	= Las CPU tienen un nivel medio.
   d63	= Las CPU tienen un nivel alto.
   d64	= Carrera sin CPU.
   d66	= Vehículos
   d67	= Karts
   d68	= Motos
   d69	= Todos
   d6a	= Las CPU compiten en karts.
   d6b	= Las CPU compiten en motos.
   d6c	= Las CPU compiten en karts y en motos.
   d6d	= Las CPU compiten en karts.
   d6e	= Las CPU compiten en motos.
   d6f	= Las CPU compiten en karts y en motos.
   d70	= Circuito
   d71	= Elegir
   d72	= Aleatorio
   d73	= Por orden
   d74	= Elige el circuito para cada carrera.
   d75	= Los circuitos se eligen aleatoriamente.
   d76	= Los circuitos se corren en el orden establecido en cada copa.
   d77	= Elige el escenario para cada batalla.
   d78	= Los escenarios se eligen aleatoriamente.
   d79	= Compite en los escenarios en el orden establecido.
   d7a	= Carreras
   d7b	= \z{a02,1000000001}
   d7c	= Victorias
   d84	= \z{a02,1000000001}
   d85	= Equipos
   d86	= Carrera en equipo
   d87	= Carrera individual
   d88	/
   d89	= Establece el número de carreras.
   d8a	= Establece el número de victorias necesarias para ganar.
   d8b	= ¡Obtén la mayor puntuación compitiendo en equipo!
   d8c	= ¡Pisa a fondo y obtén la mayor puntuación!
   d8d	= Escenario
   d8e	= ¿Seguro que quieres salir \n
	+ de esta Carrera VS.?
   d8f	= ¿Seguro que quieres \n
	+ salir de esta Batalla?
   d90	= Corre con estas reglas.
   d91	= Libra una batalla con estas reglas.
   d92	= Establece algunas reglas para las carreras.
   d93	= Establece algunas reglas para las batallas.
   d94	/
   d98	= Objetos
   d99	= Recomendado
   d9a	= Alocados
   d9b	= Básicos
   d9c	= Ninguno
   d9d	= Todos los objetos aparecen con la misma frecuencia.
   d9e	= Los objetos poderosos aparecen con mayor frecuencia.
   d9f	= Los objetos poderosos aparecen con menor frecuencia.
   da0	= Carrera sin objetos.
   da1	/
   dac	= Configurar equipo
   dad	= Equipo\n
	+ azul
   dae	= Equipo\n
	+ rojo
   daf	= Equipos
   db0	= Compite con estos equipos.
   db1	= Corredores
   db2	= \c{blue1}Equipo \n
	+ azul
   db3	= \c{red2}Equipo \n
	+ rojo
   db4	= Todos pertenecen al mismo equipo.\n
	+ \n
	+ Vuelve a formar los equipos.
   db5	/
   dde	= ¿Empezar?
   ddf	= ¿Empezar?
   de0	= ¿Empezar?
   de1	/
   fa0	= Mundial
   fa1	= Continental
   fa2	= Amigos
   fa3	= Carrera fantasma
   fa4	= Conexión Wi-Fi de Nintendo
   fa5	/
   fa6	/
   fa7	/
   fa8	= Tu lista de amigos está vacía.\n
	+ \n
	+ Añade a tus amigos para poder jugar\n
	+ juntos en la CWF de Nintendo.
   fa9	/
   faa	= Accediendo a la CWF de Nintendo...
   fab	= ¿Quieres desconectarte \n
	+ de la CWF de Nintendo?
   fac	= Sí
   fad	= No
   fae	/
   faf	/
   fb0	= No puedes acceder a la\n
	+ Conexión Wi-Fi de Nintendo\n
	+ con este nombre de Mii.\n
	+ Cámbialo y vuelve a intentarlo.
   fb1	/
   fb2	= Has perdido la conexión con los\n
	+ demás jugadores.
   fb3	= ¿Abandonas la sala?
   fb4	= ¿Cierras la sala?
   fb5	= Has perdido la conexión con el \n
	+ jugador que creó la sala. Vas a \n
	+ volver a tu lista de amigos.
   fb6	= No has podido unirte a este amigo.\n
	+ \n
	+ Vuelve a intentarlo más tarde.
   fb7	/
   fb8	= Equipos
   fb9	/
  1004	= Sala
  1005	= Crear sala
  1006	= Uniéndote a un amigo...
  1007	/
  1008	/
  1009	/
  100a	= Buscando jugadores...
  100b	= ¡Se han elegido a los jugadores!
  100c	= Esperando a amigos...
  100d	= Empezar partida
  100e	= ¡A por un Grand Prix!
  100f	= ¡A por un Grand Prix en equipo!
  1010	= ¡A por una Batalla de globos!
  1011	= ¡A por una Carrera de monedas!
  1012	/
  1036	= Añadir amigos
  1037	= ¡\z{802,120000}, ya te he añadido!
  1038	= No tienes amigos a los que añadir.
  1039	/
  103a	= ¡\z{802,120000}, ya somos amigos!
  103b	/
  1068	= Mensaje
  1069	= \z{a02,1000000002} / \z{a02,1000010002}
  106a	= \z{a02,1000000000}\n
	+ \z{800,46}Ptos. carreras
  106b	= \z{a02,1000000000}\n
	+ \z{800,46}Ptos. batallas
  106c	= Espera un momento...
  106d	= Carrera VS. mundial
  106e	= Batalla mundial
  106f	= Carrera VS. continental
  1070	= Batalla continental
  10cc	= Elige un modo.
  10cd	= Espera un momento...
  10ce	= Se ha decidido el modo.
  10cf	/
  10d0	/
  10d1	= Carrera VS.\040
  10d2	= Carrera VS.\040
  10d3	/
  10d4	= Batalla
  10d5	= Batalla
  10d6	= Enfréntate a jugadores de todo el mundo.
  10d7	= Enfréntate a jugadores de tu continente.
  10d8	= Enfréntate solo a tus amigos.
  10d9	= Compite contra fantasmas de jugadores de todo el mundo.
  10da	= ¡Carrera con un máximo de 12 jugadores!
  10db	= ¡Batalla entre dos equipos de hasta 6 jugadores!
  10dc	= Crea una sala para jugar con amigos.
  10dd	= Comprueba qué están haciendo tus amigos.
  10de	= Añade una clave de amigo en tu lista de amigos.
  10df	/
  10e0	= ¡La siguiente carrera es de 100cc!
  10e1	= ¡La siguiente carrera es de 150cc!
  10e2	= ¡La siguiente carrera es en el modo Espejo!
  10e3	= \u{f069} Batalla de globos
  10e4	= \u{f068} Carrera de monedas
  10e5	= ¡La siguiente carrera es de 100cc!
  10e6	= ¡La siguiente carrera es de 150cc!
  10e7	= ¡La siguiente carrera es en el modo Espejo!
  10e8	= ¡La siguiente carrera es de 100cc!
  10e9	= ¡La siguiente carrera es de 150cc!
  10ea	= ¡La siguiente carrera es en el modo Espejo!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= ¿Quieres votar un circuito?
  10ff	= Votar
  1100	= Aleatorio
  1101	= ?
  1102	= Votos
  1103	= Votos
  1104	= ¿Quieres votar un escenario?
  1105	= Formando la parrilla de salida...
  1106	= Preparándose para la batalla...
  1107	/
  1108	= Esperando a que todos voten...
  1109	= 
  110a	= ¡Se ha decidido el circuito!
  110b	= ¡Se ha decidido el escenario!
  110c	/
  1112	= Envía un mensaje a todos los jugadores de la sala.
  1113	= Elige el mensaje que quieres enviar.
  1114	= Empieza una partida con estos jugadores.
  1115	= Elige a qué jugar.
  1116	= Envía invitaciones para hacer nuevos amigos.
  1117	= Este mensaje solo se enviará al jugador al que invites.
  1118	/
  1126	= Añade una clave de amigo.
  1127	= Añade esta clave de amigo.
  1128	= Enfréntate a amigos.
  1129	= Se va a borrar esta clave de amigo.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= ¡Aquí estoy!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= Se ha producido un error de conexión.\n
	+ Vas a volver al menú principal.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11f9	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11fa	= La Conexión Wi-Fi de Nintendo tiene un\n
	+ volumen de tráfico demasiado elevado o\n
	+ el servicio se ha interrumpido.\n
	+ Vuelve a intentar conectarte más tarde.\n
	+ Para obtener ayuda, visita el sitio web \n
	+ support.nintendo.com.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11fb	= No se ha podido acceder a la Conexión\n
	+ Wi-Fi de Nintendo. Para obtener ayuda,\n
	+ consulta el manual de instrucciones o\n
	+ visita el sitio web support.nintendo.com.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11fc	= El servicio de Conexión Wi-Fi de Nintendo\n
	+ ya no está disponible para este juego.\n
	+ Visita support.nintendo.com para ver la lista\n
	+ completa de juegos actualmente compatibles\n
	+ con la Conexión Wi-Fi de Nintendo.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11fd	= No se ha podido acceder a la Conexión\n
	+ Wi-Fi de Nintendo. Para obtener ayuda,\n
	+ consulta el manual de instrucciones o\n
	+ visita el sitio web support.nintendo.com.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11fe	= La Conexión Wi-Fi de Nintendo tiene un\n
	+ volumen de tráfico demasiado elevado o\n
	+ el servicio se ha interrumpido.\n
	+ Vuelve a intentar conectarte más tarde.\n
	+ Para obtener ayuda, visita el sitio web \n
	+ support.nintendo.com.\n
	+ \n
	+ Error: \z{a02,1000000005}
  11ff	= No hay suficiente espacio libre en\n
	+ la memoria de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1200	= La memoria de la consola Wii está\n
	+ dañada. Consulta el manual de \n
	+ instrucciones de la consola Wii \n
	+ para obtener más información.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1201	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1202	= Error de descarga. Vuelve a intentarlo.\n
	+ Para obtener ayuda, visita el sitio web \n
	+ support.nintendo.com.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1203	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1204	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1205	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1206	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1207	= Se ha interrumpido la conexión a la\n
	+ red durante la transmisión de datos.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1208	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1209	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120a	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120b	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120c	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120d	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120e	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  120f	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1210	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1211	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
	+ Error: \z{a02,1000000005}
  1212	= No se ha podido establecer la conexión\n
	+ a internet. Comprueba la configuración \n
	+ de internet de la consola Wii.\n
	+ \n
