#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hello!
   7ec	/
   7ed	/
   7ee	= Multiplayer (2P)
   7ef	= Multiplayer (3P)
   7f0	= Multiplayer (4P)
   7f1	= Nintendo WFC (1P)
   7f2	= Nintendo WFC (2P)
   7f3	/
   802	= Please insert the Mario Kart Wii\n
	+ Game Disc into the Wii console\n
	+ and wait for the game to start up.
   803	= The Game Disc could not be read.\n
	+ Please read the Wii Operations\n
	+ Manual for more information.
   804	= An error has occurred.\n
	+ \n
	+ Press the EJECT Button, remove\n
	+ the Game Disc, and turn the power\n
	+ off. Please read the Wii Operations\n
	+ Manual for more information.
   805	= There is not enough available space in\n
	+ the Wii System Memory. Create 23 blocks\n
	+ of free space by either moving data to\n
	+ an SD Card or deleting data in the\n
	+ Data Management Screen.
   806	= The Wii System Memory has been\n
	+ corrupted. Refer to the Wii\n
	+ Operations Manual for further\n
	+ instructions.
   807	= This data is corrupted and\n
	+ cannot be used.\n
	+ \n
	+ Delete the corrupted file and\n
	+ create a new one?
   808	/
   809	= Could not write to/read from\n
	+ Wii System Memory.\n
	+ \n
	+ For details, please read the\n
	+ Wii Operations Manual.
   80a	= You will now return to the Wii Menu.
   80b	= Continue without saving
   80c	= Return to the Wii Menu
   80d	= You cannot choose this menu\n
	+ because there is no save file.
   80e	= No save file could be read.\n
	+ Please insert a Mario Kart Wii\n
	+ Game Disc.
   80f	= Start Game Disc
   810	= You will be returned\n
	+ to the Wii Menu.\n
	+ Is this OK?
   811	= Saving. Please do not touch\n
	+ the POWER Button or RESET.
   812	= Unable to load Mii Channel data.\n
	+ Please access the Mii Channel\n
	+ and check Mii Channel data.
   813	= If you erase this Mii from the\n
	+ Mii Channel, it will also be\n
	+ erased in Mario Kart Wii, so\n
	+ please be careful.
   814	= Your licence was created using a\n
	+ Guest Mii. You can create a new Mii\n
	+ of your own in the Mii Channel.
   815	= The ghost data challenge could not\n
	+ be sent. Up to five challenges can\n
	+ be sent each time you play.\n
	+ \n
	+ Please wait until the next time\n
	+ you start Mario Kart Wii to send\n
	+ another challenge.
   816	= Unable to connect to Nintendo Wi-Fi\n
	+ Connection. There is no save data.\n
	+ \n
	+ You can manage the Wii System Memory\n
	+ on the Data Management Screen\n
	+ of the Wii Options.
   817	= There is not enough available space\n
	+ in the Wii System Memory. Either\n
	+ move data to an SD Card or delete\n
	+ data on the Data Management Screen.
   818	= You will now disconnect\n
	+ from Nintendo WFC and\n
	+ return to the main menu.
   819	= Your Country setting has been changed, so new\n
	+ save data must be created. If you do not want to\n
	+ lose your existing save data, please return to the\n
	+ Wii Menu and restore your original Country setting.
   81a	= Create New Save Data
   81b	/
   834	/
   835	= A new Mario Kart Wii\n
	+ licence will be created.
   836	= New Licence
   837	= Erase Licence
   838	= Select Licence
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= A new licence will be\n
	+ created for \z{802,120000}.\n
	+ \n
	+ Is this OK?
   840	= The Mii for this licence will\n
	+ be changed to \z{802,120000}.\n
	+ Is this OK?
   841	= \z{602,0} and \z{802,120000}\n
	+ will connect to Nintendo WFC\n
	+ together. Is this OK?
   842	/
   848	= Records
   849	= View \z{602,0}'s records.
   84a	= Change the Mii on this licence.
   84b	= Select Mii
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Erase \z{602,0}'s licence.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Close
   858	/
   866	/
   867	= Your new licence has been created.
   868	= Are you sure you want to\n
	+ erase \z{602,0}'s licence?
   869	= \z{602,0}'s licence\n
	+ has been erased.
   86a	/
   86b	= The Mii for this licence has been changed.
   86c	/
   86d	= Erasing licence...
   86e	= The Friend Roster, ghost data records\n
	+ and other data for this licence will be\n
	+ erased. Are you sure this is OK?
   86f	/
   898	= Change Mii
   899	= Select Mii
   89a	= Wii Console
   89b	= Guest
   89c	/
   89d	= The Mii for this licence has been deleted\n
	+ from the Mii Channel.\n
	+ \n
	+ Please choose another Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= The battery charge is\n
	+ running low.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\n
	+ \z{800,32}Player
   8fe	= 2\n
	+ \z{800,32}Players
   8ff	= 3\n
	+ \z{800,32}Players
   900	= 4\n
	+ \z{800,32}Players
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Register Controllers
   962	= Press the A Button on Player 2's Controller.
   963	= Press the A Button on Player 3's Controller.
   964	= Press the A Button on Player 4's Controller.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= Is this OK?
   9c5	= Change
   9c6	= Press the A Button on Player 1's controller.
   9c7	= Press the A Button on Player 2's controller.
   9c8	= Press the A Button on Player 3's controller.
   9c9	= Press the A Button on Player 4's controller.
   9ca	= Use these controllers.
   9cb	= Change the controllers.
   9cc	= \z{802,110000}Add Wii Remote
   9cd	= Press \u{f043} and \u{f030} simultaneously.
   9ce	= \z{802,110000}OK
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= Add the Mario Kart Channel to\n
	+ your Wii Menu? This requires\n
	+ \z{a02,1000000000} blocks of free space.
   a29	= Add
   a2a	= Cancel
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Add Mario Kart Channel
   a30	= Add the Mario Kart Channel to\n
	+ your Wii Menu and you will be\n
	+ able to access the Channel\n
	+ without having to insert the\n
	+ Mario Kart Wii Game Disc!
   a31	= The Mario Kart Channel has already\n
	+ been added to your Wii Menu.
   a32	= There is not enough available space\n
	+ in the Wii System Memory.\n
	+ Create \z{a02,1000000000} blocks of free space\n
	+ by either moving data to an SD Card\n
	+ or deleting data on the\n
	+ Data Management Screen.
   a33	= There is not enough available space\n
	+ in the Wii System Memory. Either\n
	+ move data to an SD Card or delete\n
	+ data on the Data Management Screen.
   a34	= There is not enough available space\n
	+ on your Wii Menu. Either move Channels\n
	+ to an SD Card or delete Channels on\n
	+ the Data Management Screen.
   a35	= The Wii System Memory\n
	+ has been corrupted. Refer\n
	+ to the Wii Operations Manual\n
	+ for further instructions.
   a36	/
   bb8	= Grand Prix
   bb9	= Time Trials
   bba	= VS Race
   bbb	= Battle
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}Karts Only
   bbf	= 100cc\n
	+ \z{800,32}Bikes Only
   bc0	= 150cc\n
	+ \z{800,32}Karts and Bikes
   bc1	= Mirror\n
	+ \z{800,32}Karts and Bikes
   bc2	= 50cc\n
	+ \z{800,32}Karts and Bikes
   bc3	= 100cc\n
	+ \z{800,32}Karts and Bikes
   bc4	= \z{802,110000}Switch
   bc5	/
   bea	= A four-course race for first place!
   beb	= A solo race for the fastest record!
   bec	= Race with custom settings!
   bed	= Race with custom settings!
   bee	= Battle in teams!
   bef	= Battle in teams!
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= A Grand Prix for beginners (karts only).
   bf5	= A standard Grand Prix (bikes only).
   bf6	= A Grand Prix for experts (karts and bikes).
   bf7	= A mirrored Grand Prix (karts and bikes).
   bf8	= A Grand Prix for beginners (karts and bikes).
   bf9	= A standard Grand Prix (karts and bikes).
   bfa	/
   c1c	= Time Trials
   c1d	= There is no ghost data for this course.
   c1e	/
   c1f	= Rankings
   c20	/
   c80	= Battle Type
   c81	= Balloon Battle
   c82	= Coin Runners
   c83	/
   c84	/
   cb2	= Pop the opposing team's balloons!
   cb3	= Battle for the most coins!
   cb4	/
   cb5	/
   ce9	= Drift Mode
   cea	= Automatic
   ceb	= Manual
   cec	= Help
   ced	= ■ Drift ■\n
	+ Drift lets you take corners without\n
	+ losing speed. There are two drift modes.\n
	+ \n
	+ ■ Automatic Drift ■\n
	+ You will drift automatically when turning,\n
	+ but you can't \z{802,170000}hop or use Mini-Turbos.\n
	+ \n
	+ ■ Manual Drift ■\n
	+ \z{802,170000}Hop while turning to drift. Keep\n
	+ drifting to get a Mini-Turbo, which\n
	+ gives you a burst of speed.
   cee	= View an explanation of drift and drift modes.
   cef	= Speed
   cf0	= Weight
   cf1	= Acceleration
   cf2	= Handling
   cf3	= Drift
   cf4	= Off-Road
   cf5	= Mini-Turbo
   cf6	/
   d16	= Drift automatically (no Mini-Turbo).
   d17	= Drift manually (with Mini-Turbo).
   d18	/
   d20	= \z{802,110000}　Trophy: \z{802,110001}　Rank:\z{802,110002}
   d21	= Time Trials
   d22	= \z{802,110000}
   d23	= \z{802,110000} VS Race
   d24	= \u{f069} Balloon Battle
   d25	= \u{f068} Coin Runners
   d26	= \z{802,110000} Team VS Race
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	=  　
   d37	/
   d38	/
   d48	= Rules
   d49	= Select Class
   d4a	= Select Character
   d4b	= Select Vehicle
   d4c	= Select Cup
   d4d	= Select Course
   d4e	= Select Stage
   d4f	= Choose Ghost Data
   d50	= Battle
   d51	= VS Race
   d52	= Class
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= Mirror
   d57	= 50cc class for beginners.
   d58	= 100cc class for average racers.
   d59	= 150cc class for experts.
   d5a	= 150cc class with mirrored courses.
   d5c	= CPU
   d5d	= Easy
   d5e	= Normal
   d5f	= Hard
   d60	= Off
   d61	= CPU players are less skilled.
   d62	= CPU players are of average skill.
   d63	= CPU players are more skilled.
   d64	= Race without CPU players.
   d66	= Vehicles
   d67	= Karts
   d68	= Bikes
   d69	= All
   d6a	= CPU players use karts only.
   d6b	= CPU players use bikes only.
   d6c	= CPU players use karts and bikes.
   d6d	= CPU players use karts only.
   d6e	= CPU players use bikes only.
   d6f	= CPU players use karts and bikes.
   d70	= Course
   d71	= Choose
   d72	= Random
   d73	= In Order
   d74	= Choose the course for each race.
   d75	= Courses are chosen at random.
   d76	= Race courses in Cup order.
   d77	= Choose the stage for each battle.
   d78	= Stages are chosen at random.
   d79	= Play stages in order.
   d7a	= Races
   d7b	= \z{a02,1000000001}
   d7c	= Wins
   d84	= \z{a02,1000000001}
   d85	= Teams
   d86	= Team Race
   d87	= Solo Race
   d88	/
   d89	= Set the number of races.
   d8a	= Set the number of wins needed for overall victory.
   d8b	= Compete in teams for the most points!
   d8c	= Compete for the most points!
   d8d	= Stage
   d8e	= Are you sure you want\n
	+ to quit this VS Race?
   d8f	= Are you sure you want\n
	+ to quit this Battle?
   d90	= Race with these rules.
   d91	= Battle with these rules.
   d92	= Set various race rules.
   d93	= Set various battle rules.
   d94	/
   d98	= Items
   d99	= Recommended
   d9a	= Frantic
   d9b	= Basic
   d9c	= None
   d9d	= All items appear with balanced frequency.
   d9e	= Powerful items appear with high frequency.
   d9f	= Powerful items are hard to find.
   da0	= No items will appear.
   da1	/
   dac	= Team Settings
   dad	= Blue\n
	+ Team
   dae	= Red\n
	+ Team
   daf	= Teams
   db0	= Play with these teams.
   db1	= Racers
   db2	= \c{blue1}Blue\n
	+ Team
   db3	= \c{red2}Red\n
	+ Team
   db4	= Everyone is on the same team.\n
	+ \n
	+ Please choose again.
   db5	/
   dde	= Start?
   ddf	= Start?
   de0	= Start?
   de1	/
   fa0	= Worldwide
   fa1	= Continental
   fa2	= Friends
   fa3	= Ghost Race
   fa4	= Nintendo Wi-Fi Connection
   fa5	/
   fa6	/
   fa7	/
   fa8	= There are no Friends registered\n
	+ in your Friend Roster.\n
	+ \n
	+ Register Friends to play\n
	+ together on Nintendo WFC.\040
   fa9	/
   faa	= Connecting to Nintendo WFC...
   fab	= Disconnect from Nintendo WFC?
   fac	= Yes
   fad	= No
   fae	/
   faf	/
   fb0	= You cannot access Nintendo\n
	+ Wi-Fi Connection using this\n
	+ Mii name. Please change your\n
	+ Mii name and try again.
   fb1	/
   fb2	= You were disconnected\n
	+ from the other players.
   fb3	= Leave the room?
   fb4	= Close the room?
   fb5	= You were disconnected from the\n
	+ room's creator. You will now be\n
	+ returned to your Friend Roster.
   fb6	= You were unable to join this Friend.\n
	+ \n
	+ Please wait and try again later.
   fb7	/
   fb8	= Teams
   fb9	/
  1004	= Room
  1005	= Create a Room
  1006	= Joining Friend...
  1007	/
  1008	/
  1009	/
  100a	= Searching for players...
  100b	= Players have been chosen!
  100c	= Waiting for Friends...
  100d	= Start Game
  100e	= We're playing a Grand Prix!
  100f	= We're playing a Team Grand Prix!
  1010	= We're playing a Balloon Battle!
  1011	= We're playing Coin Runners!
  1012	/
  1036	= Add Friends
  1037	= I've added you, \z{802,120000}!
  1038	= There are no Friends to add.
  1039	/
  103a	= Now we're Friends, \z{802,120000}!
  103b	/
  1068	= Message
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\n
	+ \z{800,46}Race Rating
  106b	= \z{a02,1000000000}\n
	+ \z{800,46}Battle Rating
  106c	= Please wait...
  106d	= Worldwide VS Race
  106e	= Worldwide Battle
  106f	= Continental VS Race
  1070	= Continental Battle
  10cc	= Choose a mode.
  10cd	= Please wait...
  10ce	= The mode has been decided.
  10cf	/
  10d0	/
  10d1	= VS Race
  10d2	= VS Race
  10d3	/
  10d4	= Battle
  10d5	= Battle
  10d6	= Challenge players around the world.
  10d7	= Challenge players on your continent.
  10d8	= Play with just your Friends.
  10d9	= Race against ghost data from players around the world.
  10da	= Race with up to 11 other players!
  10db	= Battle with up to 6 players on each team!
  10dc	= Create a room to play with Friends.
  10dd	= See what your Friends are doing right now.
  10de	= Register a Friend Code in your Friend Roster.
  10df	/
  10e0	= The next race is 100cc class!
  10e1	= The next race is 150cc class!
  10e2	= The next race is Mirror class!
  10e3	= \u{f069} Balloon Battle
  10e4	= \u{f068} Coin Runners
  10e5	= The next race is 100cc class!
  10e6	= The next race is 150cc class!
  10e7	= The next race is Mirror class!
  10e8	= The next race is 100cc class!
  10e9	= The next race is 150cc class!
  10ea	= The next race is Mirror class!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= Vote for a course?
  10ff	= Vote
  1100	= Random
  1101	= ???
  1102	= Course Votes
  1103	= Stage Votes
  1104	= Vote for a stage?
  1105	= Getting ready to race...
  1106	= Getting ready to battle...
  1107	/
  1108	= Waiting for everyone to vote...
  1109	= 
  110a	= The course has been decided!
  110b	= The stage has been decided!
  110c	/
  1112	= Send a message to everyone in the room.
  1113	= Choose a message to send.
  1114	= Start a game with these players.
  1115	= Choose what to play.
  1116	= Invite others to become your Friends.
  1117	= This message will only be sent to the player you are inviting.
  1118	/
  1126	= Enter a Friend Code.
  1127	= Register this Friend Code.
  1128	= Play with Friends.
  1129	= This Friend Code will be removed.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= Here I am!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= A communication error has\n
	+ occurred. You will now\n
	+ return to the main menu.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11f9	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fa	= Either Nintendo Wi-Fi Connection is\n
	+ experiencing high traffic volumes or the\n
	+ service is down. Please try again later.\n
	+ For help, visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fb	= Unable to connect to Nintendo Wi-Fi\n
	+ Connection. For help, check the\n
	+ software Instruction Booklet or\n
	+ visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fc	= The Nintendo Wi-Fi Connection service for\n
	+ this software has been discontinued. Visit\n
	+ support.nintendo.com for a list of current\n
	+ Nintendo Wi-Fi Connection-compatible software.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fd	= Unable to connect to Nintendo Wi-Fi\n
	+ Connection. For help, check the\n
	+ software Instruction Booklet or\n
	+ visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11fe	= Either Nintendo Wi-Fi Connection is\n
	+ experiencing high traffic volumes, or\n
	+ the service is down. Please try again later.\n
	+ For help, visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  11ff	= There is not enough available space\n
	+ in the Wii System Memory.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1200	= The Wii System Memory has been damaged.\n
	+ Refer to the Wii Operations Manual\n
	+ for further instructions.\n
	+ \n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1201	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1202	= Download failed. Please try again.\n
	+ For help, visit support.nintendo.com.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1203	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1204	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1205	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1206	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1207	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1208	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1209	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120a	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120b	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120c	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120d	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120e	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  120f	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1210	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1211	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1212	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1213	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1214	= Unable to connect to the Internet.\n
	+ Confirm the Internet settings of\n
	+ the Wii console.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1215	= Disconnected from network during\n
	+ data transmission.\n
	+ \n
	+ Error Code: \z{a02,1000000005}
  1216	/
  1388	= Mario Kart Channel
  1389	= Friend Roster
  138a	= Rankings
  138b	= Ghost Race
  138c	= Competitions
  138d	/
  138e	= Register Friend Code
  138f	/
  1390	= Wii Menu
  1391	= Downloaded Ghost Data List
  1392	= Competitions
  1393	= Friend Roster
  1394	/
  1395	/
  1396	= Start Race
  1397	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!
  1398	= My Ghost Data
  1399	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139a	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139b	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139c	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139d	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139e	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  139f	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a0	= Hone your Time Trial technique\n
	+ by challenging ghost data from\n
	+ players around the world in a\n
	+ series of races via Nintendo WFC!\n
	+ \n
	+ Your current record:\n
	+ \z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} 
	+ \z{c04,113a413a5}
  13a1	= \z{a02,1000000000} \z{c04,13a213a3}
  13a2	= win
  13a3	= wins
  13a4	= loss
  13a5	= losses
  13a6	/
  13ba	= Friends
  13bb	= Ghost Data
  13bc	= Time Trial Rankings
  13bd	/
  13be	= Competition Rankings
  13bf	/
  13c4	= Check what your Friends are doing.
  13c5	= View rankings of Friends and other players.
  13c6	= Check and erase downloaded ghost data.
  13c7	= Participate in Mario Kart competitions.
  13c8	= Challenge ghost data from around the world.
  13c9	/
  13ca	= Send and receive ghost data.
  13cb	/
  13cc	= View Mario Kart competition rankings.
  13cd	/
  13ce	/
  13cf	/
  13d0	/
  13d1	/
  13d2	/
  13d3	/
  13d8	/
  13d9	/
  13da	/
  13db	/
  13dc	/
  13dd	/
  13ec	= Please enter a Friend Code.
  13ed	= Register this Friend Code?\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
  13ee	= This is not a valid Friend Code.\n
	+ \n
	+ \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
