#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Hallo!
	+ lässt nach.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\n
	+ \z{800,32}Spieler
   8fe	= 2\n
	+ \z{800,32}Spieler
   8ff	= 3\n
	+ \z{800,32}Spieler
   900	= 4\n
	+ \z{800,32}Spieler
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Controller-Registrierung
   962	= Drücke den A-Knopf auf dem Controller von Spieler 2.
   963	= Drücke den A-Knopf auf dem Controller von Spieler 3.
   964	= Drücke den A-Knopf auf dem Controller von Spieler 4.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= Ist das okay?
   9c5	= Ändern
   9c6	= Drücke den A-Knopf auf dem Controller von Spieler 1.
   9c7	= Drücke den A-Knopf auf dem Controller von Spieler 2.
   9c8	= Drücke den A-Knopf auf dem Controller von Spieler 3.
   9c9	= Drücke den A-Knopf auf dem Controller von Spieler 4.
   9ca	= Verwende diese Controller.
   9cb	= Wechsle die Controller aus.
   9cc	= \z{802,110000}Hinzufügen
   9cd	= Gleichzeitig \u{f043} und \u{f030} drücken.
   9ce	= \z{802,110000}O.K.
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}O.K.
   9fc	= \c{blue2}O.K.
   9fd	= \c{red3}O.K.
   9fe	= \c{green}O.K.
   9ff	/
   a28	= Möchtest du deinem Wii-Menü\n
	+ den Mario Kart-Kanal\n
	+ hinzufügen (erforderliche\n
	+ Blöcke: \z{a02,1000000000}).
   a29	= Ja
   a2a	= Nein
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Mario Kart-Kanal hinzufügen
   a30	= Fügst du deinem Wii-Menü den\n
	+ Mario Kart-Kanal hinzu, kannst\n
	+ du ihn sogar ohne eingeschobene\n
	+ Mario Kart Wii-Disc nutzen!
   a31	= Der Mario Kart-Kanal\n
	+ wurde deinem Wii-Menü\n
	+ bereits hinzugefügt.
   a32	= Der Speicher der Wii-Konsole ist\n
	+ belegt. Bitte rufe den Datenver-\n
	+ waltungsbildschirm auf, um Daten\n
	+ auf eine SD Card zu verschieben\n
	+ oder zu löschen (erforderliche\n
	+ Blöcke: \z{a02,1000000000}).
   a33	= Es können keine weiteren Dateien\n
	+ im Speicher der Wii-Konsole\n
	+ gespeichert werden. Bitte rufe\n
	+ den Datenverwaltungsbildschirm auf,\n
	+ um Daten auf eine SD Card zu\n
	+ verschieben oder zu löschen.
   a34	= Es können keine weiteren Kanäle\n
	+ in deinem Wii-Menü gespeichert\n
	+ werden. Bitte rufe den\n
	+ Datenverwaltungsbildschirm auf,\n
	+ um Kanäle auf eine SD Card zu\n
	+ verschieben oder zu löschen.
   a35	= Der Speicher der Wii-Konsole ist\n
	+ fehlerhaft. Bitte lies die Wii-\n
	+ Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.
   a36	/
   bb8	= Grand Prix
   bb9	= Zeitfahren
   bba	= Versus-Rennen
   bbb	= Wettkampf
   bbc	/
   bbd	/
   bbe	= 50 ccm\n
	+ \z{800,32}Nur Karts
   bbf	= 100 ccm\n
	+ \z{800,32}Nur Bikes
   bc0	= 150 ccm\n
	+ \z{800,32}Karts und Bikes
   bc1	= Spiegel\n
	+ \z{800,32}Karts und Bikes
   bc2	= 50 ccm\n
	+ \z{800,32}Karts und Bikes
   bc3	= 100 ccm\n
	+ \z{800,32}Karts und Bikes
   bc4	= \z{802,110000}Wechseln
   bc5	/
   bea	= Vier-Kurs-Rennen um den ersten Platz!
   beb	= Fahre allein und stelle Bestzeiten auf!
   bec	= Fahre Rennen mit eigenen Regeln!
   bed	= Fahre Rennen mit eigenen Regeln!
   bee	= Kämpfe im Team um den Sieg!
   bef	= Kämpfe im Team um den Sieg!
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= Grand Prix für Anfänger (nur Karts).
   bf5	= Grand Prix für Fortgeschrittene (nur Bikes).
   bf6	= Grand Prix für Experten (Karts und Bikes).
   bf7	= Grand Prix, Spiegel (Karts und Bikes).
   bf8	= Grand Prix für Anfänger (Karts und Bikes).
   bf9	= Grand Prix für Standardfahrer (Karts und Bikes).
   bfa	/
   c1c	= Zeitfahren
   c1d	= Es gibt keine Geistdaten für diesen Kurs.
   c1e	/
   c1f	= Ranglisten ansehen
   c20	/
   c80	= Wettkampf-Auswahl
   c81	= Ballonbalgerei
   c82	= Münzenjäger
   c83	/
   c84	/
   cb2	= Schieße die Ballons der Gegner ab.
   cb3	= Krall dir so viele Münzen wie möglich!
   cb4	/
   cb5	/
   ce9	= Drift-Modus wählen
   cea	= Automatik
   ceb	= Manuell
   cec	= Hilfe
   ced	= ■Drift-Modus■\n
	+ Drifte in Kurven, um kein Tempo zu\n
	+ verlieren. Es gibt zwei Drift-Modi:\n
	+ \n
	+ ■Automatik-Drift■\n
	+ Drifte automatisch beim Kurvenfahren.\n
	+ Keine \z{802,170000}Sprünge und Mini-Turbos.\n
	+ \n
	+ ■Manueller Drift■\n
	+ \z{802,170000}Hüpfe kurz, drifte und löse\n
	+ dann den Mini-Turbo aus.
   cee	= Lies die Erklärungen zu den Drift-Modi.
   cef	= Tempo
   cf0	= Gewicht
   cf1	= Beschleunigung
   cf2	= Handling
   cf3	= Driften
   cf4	= Off-Road
   cf5	= Mini-Turbo
   cf6	/
   d16	= Drifte automatisch (kein Mini-Turbo).
   d17	= Drifte manuell (Mini-Turbo).
   d18	/
   d20	= \z{802,110000} - Pokal: \z{802,110001} Rang: \z{802,110002}
   d21	= Zeitfahren
   d22	= \z{802,110000}
   d23	= Versus-Rennen, \z{802,110000}
   d24	= \u{f069} Ballonbalgerei wurde ausgewählt.
   d25	= \u{f068} Münzenjäger wurde ausgewählt.
   d26	= Team-Versus-Rennen, \z{802,110000}
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	= 
   d37	/
   d38	/
   d48	= Regeln
   d49	= Motorklasse wählen
   d4a	= Fahrer wählen
   d4b	= Fahrzeug wählen
   d4c	= Cup wählen
   d4d	= Kurs wählen
   d4e	= Arena wählen
   d4f	= Geistdaten wählen
   d50	= Wettkampf
   d51	= Versus-Rennen
   d52	= Motorklasse
   d53	= 50 ccm
   d54	= 100 ccm
   d55	= 150 ccm
   d56	= Spiegel
   d57	= 50 ccm für Anfänger.
   d58	= 100 ccm für Fortgeschrittene.
   d59	= 150 ccm für Experten.
   d5a	= 150 ccm, spiegelverkehrter Kurs.
   d5c	= COM
   d5d	= Leicht
   d5e	= Normal
   d5f	= Schwer
   d60	= Keine
   d61	= COM-Fahrer sind schwach.
   d62	= COM-Fahrer sind mittelmäßig.
   d63	= COM-Fahrer sind stark.
   d64	= Keine COM-Fahrer.
   d66	= Fahrzeug
   d67	= Karts
   d68	= Bikes
   d69	= Alle
   d6a	= COM-Fahrer fahren nur Karts.
   d6b	= COM-Fahrer fahren nur Bikes.
   d6c	= COM-Fahrer fahren Karts/Bikes.
   d6d	= COM-Fahrer fahren nur Karts.
   d6e	= COM-Fahrer fahren nur Bikes.
   d6f	= COM-Fahrer fahren Karts/Bikes.
   d70	= Kurs
   d71	= Auswählen
   d72	= Zufällig
   d73	= Reihenfolge
   d74	= Wähle den Kurs für jedes Rennen.
   d75	= Die Kurse werden zufällig gewählt.
   d76	= Fahre die Kurse in Cup-Reihenfolge.
   d77	= Wähle die Arena für jeden Wettkampf.
   d78	= Die Arenen werden zufällig gewählt.
   d79	= Die Arenen der Reihe nach spielen.
   d7a	= Rennen
   d7b	= \z{a02,1000000001}
   d7c	= Siege
   d84	= \z{a02,1000000001}
   d85	= Modus
   d86	= Teamrennen
   d87	= Solorennen
   d88	/
   d89	= Bestimme die Anzahl der Rennen.
   d8a	= Bestimme die Anzahl der benötigten Siege.
   d8b	= Kämpfe im Team um die meisten Punkte.
   d8c	= Kämpfe um die meisten Punkte.
   d8d	= Arena
   d8e	= Möchtest du wirklich das\n
	+ Versus-Rennen beenden?
   d8f	= Möchtest du wirklich\n
	+ den Wettkampf beenden?
   d90	= Zu diesen Regeln fahren.
   d91	= Zu diesen Regeln kämpfen.
   d92	= Lege verschiedene Regeln fest.
   d93	= Lege verschiedene Regeln fest.
   d94	/
   d98	= Items
   d99	= Standard
   d9a	= Furios
   d9b	= Einfach
   d9c	= Keine
   d9d	= Alle Items erscheinen ausgewogen regelmäßig.
   d9e	= Hauptsächlich Items des Angriffs tauchen auf.
   d9f	= Items des Angriffs tauchen kaum auf.
   da0	= Es tauchen keine Items auf.
   da1	/
   dac	= Team-Einstellungen
   dad	= Blaues\n
	+ Team
   dae	= Rotes\n
	+ Team
   daf	= Team-Aufstellung
   db0	= Die Teammitglieder im Überblick.
   db1	= Fahrerliste
   db2	= \c{blue1}Blaues\n
	+ Team
   db3	= \c{red2}Rotes\n
	+ Team
   db4	= Alle Spieler sind im selben Team.\n
	+ \n
	+ Bitte erneut wählen.
   db5	/
   dde	= Starten
   ddf	= Starten
   de0	= Starten
   de1	/
   fa0	= Global
   fa1	= Kontinental
   fa2	= Freunde
   fa3	= Geistrennen
   fa4	= Nintendo Wi-Fi Connection
   fa5	/
   fa6	/
   fa7	/
   fa8	= Es sind keine Freunde in deiner\n
	+ Freundesliste registriert.\n
	+ \n
	+ Registriere Freunde, um mit ihnen\n
	+ zusammen via Nintendo WFC zu\n
	+ spielen.
   fa9	/
   faa	= Verbinde mit Nintendo WFC...
   fab	= Soll die Verbindung zur\n
	+ Nintendo Wi-Fi Connection\n
	+ wirklich beendet werden?
   fac	= Ja
   fad	= Nein
   fae	/
   faf	/
   fb0	= Du kannst keine Verbindung zur\n
	+ Nintendo Wi-Fi Connection\n
	+ herstellen, wenn du diesen\n
	+ Mii-Namen verwendest.\n
	+ Bitte ändere deinen Mii-Namen\n
	+ und versuche es noch einmal.
   fb1	/
   fb2	= Die Verbindung zu anderen\n
	+ Spielern wurde getrennt.
   fb3	= Den Raum verlassen?
   fb4	= Den Raum schließen?
   fb5	= Die Verbindung zum Raum-Ersteller\n
	+ wurde getrennt. Du kehrst nun\n
	+ zurück zur Freundesliste.
   fb6	= Du konntest dich nicht\n
	+ mit deinem Freund treffen.\n
	+ \n
	+ Bitte versuche es\n
	+ später noch einmal.
   fb7	/
   fb8	= Teams
   fb9	/
  1004	= Raum
  1005	= Raum erstellen
  1006	= Freund treffen...
  1007	/
  1008	/
  1009	/
  100a	= Suche nach Spielern...
  100b	= Spieler gefunden!
  100c	= Warte auf Freunde...
  100d	= Start
  100e	= Wir fahren einen Grand Prix!
  100f	= Wir fahren 'nen Team-Grand Prix!
  1010	= Wir spielen Ballonbalgerei!
  1011	= Wir spielen Münzenjäger!
  1012	/
  1036	= Neue Freunde
  1037	= \z{802,120000}, du bist registriert!
  1038	= Keine neuen Freunde im Raum gefunden.
  1039	/
  103a	= Wir sind Freunde, \z{802,120000}!
  103b	/
  1068	= Nachricht
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\n
	+ \z{800,46}R-Punkte
  106b	= \z{a02,1000000000}\n
	+ \z{800,46}W-Punkte
  106c	= Bitte warte...
  106d	= Globales Versus-Rennen
  106e	= Globaler Wettkampf
  106f	= Kontinentales Versus-Rennen
  1070	= Kontinentaler Wettkampf
  10cc	= Wähle einen Modus.
  10cd	= Einen Moment bitte...
  10ce	= Der Spielmodus wurde gewählt.
  10cf	/
  10d0	/
  10d1	= Versus-Rennen
  10d2	= Versus-Rennen
  10d3	/
  10d4	= Wettkampf
  10d5	= Wettkampf
  10d6	= Spiele mit Spielern aus der ganzen Welt.
  10d7	= Spiele mit Spielern deines Kontinents.
  10d8	= Spiele mit Freunden.
  10d9	= Fahre gegen Geister anderer Spieler aus der ganzen Welt.
  10da	= Fahre Rennen mit bis zu 12 Spielern!
  10db	= Spiele Wettkämpfe mit bis zu 6 Personen pro Team!
  10dc	= Erstelle einen Raum und spiele mit Freunden.
  10dd	= Sieh nach, was deine Freunde machen.
  10de	= Registriere Freundescodes.
  10df	/
  10e0	= Nächstes Rennen: 100 ccm!
  10e1	= Nächstes Rennen: 150 ccm!
  10e2	= Nächstes Rennen: Spiegel!
  10e3	= \u{f069} Ballonbalgerei!
  10e4	= \u{f068} Münzenjäger!
  10e5	= Nächstes Rennen: 100 ccm!
  10e6	= Nächstes Rennen: 150 ccm!
  10e7	= Nächstens Rennen: Spiegel!
  10e8	= Nächstes Rennen: 100 ccm!
  10e9	= Nächstes Rennen: 150 ccm!
  10ea	= Nächstes Rennen: Spiegel!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= Wähle den Kurs, den du vorschlagen\n
	+ möchtest, oder überlass es dem Zufall.
  10ff	= Wählen
  1100	= Zufällig
  1101	= ???
  1102	= Kurs-Auswahl
  1103	= Arena-Auswahl
  1104	= Wähle die Arena, die du vorschlagen\n
	+ möchtest oder überlass es dem Zufall.
  1105	= Rennen wird vorbereitet...
  1106	= Wettkampf wird vorbereitet...
  1107	/
  1108	= Bitte warte...
  1109	= Das Roulette entscheidet...
  110a	= Der Kurs wurde ausgewählt!
  110b	= Die Arena wurde ausgewählt!
  110c	/
  1112	= Schicke jedem im Raum eine Nachricht.
  1113	= Wähle eine Nachricht.
  1114	= Starte ein Spiel mit diesen Spielern.
  1115	= Wähle, was gespielt wird.
  1116	= Biete anderen deine Freundschaft an.
  1117	= Nur die eingeladene Person wird diese Nachricht sehen.
  1118	/
  1126	= Gib den Freundescode ein.
  1127	= Registriere diesen Freundescode.
  1128	= Spiele mit Freunden.
  1129	= Dieser Freundescode wird gelöscht.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= Hier bin ich!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= Fehler bei der Datenübertragung.\n
	+ Du kehrst nun zurück zum Hauptmenü.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  11f9	= Es kann keine Verbindung zum\n
	+ Internet hergestellt werden.\n
	+ Bitte überprüfe die Einstellungen\n
	+ der Verbindung in den\n
	+ Internet-Einstellungen.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  11fa	= Entweder ist die Nintendo Wi-Fi\n
	+ Connection mit starkem Datenverkehr\n
	+ ausgelastet oder der Service steht\n
	+ vorübergehend nicht zur Verfügung.\n
	+ Versuche es später noch einmal.\n
	+ Besuche support.nintendo.com, um\n
	+ weitere Hilfe zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  11fb	= Keine Verbindung zur Nintendo\n
	+ Wi-Fi Connection möglich.\n
	+ Besuche support.nintendo.com oder\n
	+ lies die Software-Anleitung, um\n
	+ weitere Hilfe zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  11fc	= Der Nintendo Wi-Fi Connection\n
	+ Service für diesen Titel wurde\n
	+ eingestellt. Besuche\n
	+ support.nintendo.com, um eine\n
	+ Liste der Titel einzusehen,\n
	+ die Nintendo Wi-Fi Connection\n
	+ unterstützen.\n
	+ Fehlercode: \z{a02,1000000005}
  11fd	= Keine Verbindung zur Nintendo\n
	+ Wi-Fi Connection möglich.\n
	+ Besuche support.nintendo.com oder\n
	+ lies die Software-Anleitung, um\n
	+ weitere Hilfe zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  11fe	= Entweder ist die Nintendo Wi-Fi\n
	+ Connection mit starkem Datenverkehr\n
	+ ausgelastet oder der Service steht\n
	+ vorübergehend nicht zur Verfügung.\n
	+ Versuche es später noch einmal.\n
	+ Besuche support.nintendo.com,\n
	+ um weitere Hilfe zu erhalten.\n
	+ Fehlercode: \z{a02,1000000005}
  11ff	= Der Speicher der Wii-Konsole\n
	+ ist belegt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1200	= Der Speicher der Wii-Konsole\n
	+ ist beschädigt. Bitte lies die\n
	+ Wii-Bedienungsanleitung, um weitere\n
	+ Informationen zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1201	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1202	= Download fehlgeschlagen.\n
	+ Versuche es bitte noch einmal.\n
	+ Besuche support.nintendo.com,\n
	+ um weitere Hilfe zu erhalten.\n
	+ \n
	+ Fehlercode: \z{a02,1000000005}
  1203	= Die Internet-Verbindung wurde\n
	+ wegen eines Fehlers bei der\n
	+ Datenübertragung getrennt.\n
	+ \n
