#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

   3e8	= 
   530	= \c{blue1}pt
   531	= \c{blue1}pts
   532	= Wins: \z{a02,1000000000} - Losses: \z{a02,1000010000}
   533	= Wins: \z{a02,1000000000} - Losses: \z{a02,1000010000}
   534	= \c{red2}\z{802,110000}
   535	= \c{blue1}\z{802,110000}
   536	= TIME
   537	= LAP
   538	= SCORE
   539	= LIVE
   53a	= You will join the next race.\n
	+ Estimated no. players: \z{a02,1000000000}\n
	+ Please wait...
   53b	= You will join the next battle.\n
	+ Estimated no. players: \z{a02,1000000000}\n
	+ Please wait...
   53c	= \n
	+ Results have been determined.\n
	+ The race has ended.
   53d	= \n
	+ 5 minutes have passed.\n
	+ The race has ended.
   53e	= 30 seconds have passed since\n
	+ the winner crossed the finish\n
	+ line. The race has ended.
   53f	= 
   540	= 
   541	= \u{f06d}
   578	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
   579	= --:--.---
   57a	= :
   57b	= .
   57c	= 
   581	= \z{802,110000} Team VS Race - \z{a02,1000000000} of \z{a02,1000010000}
   582	= \z{802,110000} \z{802,110001} - 1st Race
   583	= \z{802,110000} \z{802,110001} - 2nd Race
   584	= \z{802,110000} \z{802,110001} - 3rd Race
   585	= \z{802,110000} \z{802,110001} - Final Race
   586	= \z{802,110000} VS Race - \z{a02,1000000000} of \z{a02,1000010000}
   587	= Balloon Battle
   588	= Coin Runners

#--- [589:58c] engines
   589	= 50cc
   58a	= 100cc
   58b	= 150cc
   58c	= Mirror

   58d	= \z{802,110000} \z{802,110001}
   58e	= \z{802,110000} VS Race
   58f	= Rank:\040
   590	= \u{f063}
   591	= \u{f062}
   592	= \u{f061}
   593	= \u{f078}　
   594	= \u{f079}
   595	= \u{f07a}
   596	= \u{f07b}　
   597	= \u{f07c}
   598	= F
   599	= \z{802,110000} Grand Prix
   59a	= \z{802,110000} Team Grand Prix
   59b	= \z{802,110000} Team VS Race
   59c	/
   59d	/
   59e	/
   59f	/
   5a0	= \z{802,110000} VS Race \z{802,110001}
   5a1	= \z{802,110002}\z{802,110000}  Grand Prix - 1st Race
   5a2	= \z{802,110002}\z{802,110000}  Grand Prix - 2nd Race
   5a3	= \z{802,110002}\z{802,110000}  Grand Prix - 3rd Race
   5a4	= \z{802,110002}\z{802,110000}  Grand Prix - Final Race
   5a5	= \z{802,110002}Balloon Battle
   5a6	= \z{802,110002}Coin Runners
   5a7	= (\z{a02,1000000000} players)
   5a8	= 
   5a9	= \c{red2}
   5aa	= \c{blue1}
   5ab	= 
   5dc	= Use Item
   5dd	= Steer
   5de	= Accelerate
   5df	= Brake/Drift
   5e0	= Brake
   5e1	= 

