#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= Bonjour!
   7e2	= Menu principal
   7e3	/
   7e4	= Grand Prix et plus pour 1 joueur!
   7e5	= Courses et batailles pour 2 joueurs!
   7e6	= Courses et batailles pour 3 joueurs!
   7e7	= Courses et batailles pour 4 joueurs!
   7e8	= Jouez via la CWF Nintendo!
   7e9	= Jouez avec un ami via la CWF Nintendo!
   7ea	= Classements, concours et plus encore!
   7eb	= Consultez vos records ou changez de Mii!
   7ec	/
   7ed	/
   7ee	= Multijoueur (2J)
   7ef	= Multijoueur (3J)
   7f0	= Multijoueur (4J)
   7f1	= CWF Nintendo (1J)
   7f2	= CWF Nintendo (2J)
   7f3	/
   802	= Veuillez insérer le disque\n
	+ Mario Kart Wii et attendre\n
	+ que le jeu démarre.
   803	= Impossible de lire le disque.\n
	+ Veuillez vous référer au mode\n
	+ d'emploi Wii pour plus de détails.
   804	= Une erreur est survenue.\n
	+ \n
	+ Appuyez sur le bouton EJECT, retirez\n
	+ le disque et éteignez la console.\n
	+ Veuillez vous référer au mode\n
	+ d'emploi Wii pour plus de détails.
   805	= Il n'y a pas assez d'espace libre\n
	+ dans la mémoire de la console Wii.\n
	+ Libérez 23 blocs en transférant\n
	+ des données vers une carte SD\n
	+ ou en les effaçant depuis l'écran\n
	+ de gestion des données.
   806	= La mémoire de la console Wii\n
	+ contient des données corrompues.\n
	+ Veuillez vous référer au mode\n
	+ d'emploi Wii pour plus de détails.
   807	= Les données sont corrompues et\n
	+ ne peuvent pas être utilisées.\n
	+ \n
	+ Voulez-vous effacer le fichier\n
	+ et en créer un nouveau?
   808	/
   809	= Impossible de lire ou d'écrire\n
	+ dans la mémoire de la console Wii. \n
	+ Veuillez vous référer au mode\n
	+ d'emploi Wii pour plus de détails.
   80a	= Vous allez retourner au menu Wii.
   80b	= Continuer sans sauvegarder
   80c	= Retourner au menu Wii
   80d	= Impossible de choisir ce\n
	+ menu car aucun fichier de\n
	+ sauvegarde n'a été trouvé.
   80e	= Aucun fichier de sauvegarde\n
	+ n'a été trouvé. Veuillez insérer\n
	+ le disque Mario Kart Wii.
   80f	= Démarrer
   810	= Vous allez retourner au menu Wii.\n
	+ \n
	+ Voulez-vous continuer?
   811	= Sauvegarde en cours. Ne touchez pas\n
	+ au bouton POWER ni au bouton RESET.
   812	= Impossible de lire les données\n
	+ de la chaîne Mii. Accédez à cette\n
	+ chaîne pour vérifier vos données.
   813	= Attention, si vous effacez le Mii\n
	+ associé à ce permis depuis la\n
	+ chaîne Mii, il sera également\n
	+ effacé dans Mario Kart Wii.
   814	= Vous avez créé un permis avec\n
	+ un Mii invité. Vous pouvez créer\n
	+ votre propre Mii dans la chaîne Mii.
   815	= Vous ne pouvez pas envoyer plus\n
	+ de 5 fantômes par session de jeu.\n
	+ \n
	+ Essayez de nouveau la prochaine fois\n
	+ que vous jouerez à Mario Kart Wii.
   816	= Impossible de se connecter à la\n
	+ connexion Wi-Fi Nintendo car il\n
	+ n'y a aucune donnée sauvegardée.\n
	+ \n
	+ Gérez les données sauvegardées\n
	+ dans la mémoire de la console Wii\n
	+ à partir de l'écran de gestion des\n
	+ données de la console.
   817	= Il n'y a pas assez d'espace libre\n
	+ dans la mémoire de la console Wii.\n
	+ Transférez des données sur une carte SD\n
	+ ou effacez des données inutiles depuis\n
	+ l'écran de gestion des données.
   818	= La connexion à la CWF Nintendo\n
	+ va être interrompue et vous allez\n
	+ retourner au menu principal.
   819	= Les paramètres de pays ont été changés.\n
	+ De nouvelles données de sauvegarde doivent\n
	+ être créées. Si vous ne voulez pas perdre\n
	+ vos données de sauvegarde actuelles,\n
	+ retournez au menu Wii et restaurez\n
	+ les paramètres de pays précédents.
   81a	= Créer de nouvelles données
   81b	/
   834	/
   835	= Un nouveau permis va être créé.
   836	= Nouveau permis
   837	= Effacer
   838	= Choix du permis
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= Un nouveau permis va\n
	+ être créé pour \z{802,120000}.\n
	+ \n
	+ Voulez-vous continuer?
   840	= Le Mii associé à ce permis\n
	+ va être changé pour celui\n
	+ de \z{802,120000}.\n
	+ \n
	+ Voulez-vous continuer?
   841	= \z{602,0} et \z{802,120000}\n
	+ vont se connecter ensemble à\n
	+ la connexion Wi-Fi Nintendo.\n
	+ \n
	+ Voulez-vous continuer?
   842	/
   848	= Records
   849	= Affichez les records de \z{602,0}.
   84a	= Changez le Mii associé à ce permis.
   84b	= Choisissez un Mii.
   84c	/
   84d	/
   84e	/
   84f	/
   850	= Effacez le permis de \z{602,0}.
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= Fermer
   858	/
   866	/
   867	= Votre nouveau permis est prêt.
   868	= Voulez-vous vraiment effacer\n
	+ le permis de \z{602,0}?
   869	= Le permis de \z{602,0}\n
	+ a été effacé.
   86a	/
   86b	= Le Mii associé à ce permis a été changé.
   86c	/
   86d	= Effacement du permis en cours...
   86e	= Toutes les données associées à ce\n
	+ permis, y compris la liste d'amis\n
	+ et les fantômes, seront effacées.\n
	+ \n
	+ Voulez-vous continuer?
   86f	/
   898	= Mii
   899	= Choix du Mii
   89a	= Console Wii
   89b	= Invité
   89c	/
   89d	= Le Mii associé à ce permis a\n
	+ été effacé de la chaîne Mii.\n
	+ Veuillez choisir un autre Mii.
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Les piles de la \n
	+ télécommande Wii \n
	+ sont presque vides.
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\n
	+ \z{800,32}joueur
   8fe	= 2\n
	+ \z{800,32}joueurs
   8ff	= 3\n
	+ \z{800,32}joueurs
   900	= 4\n
	+ \z{800,32}joueurs
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= Attribution des manettes
   962	= Appuyez sur le bouton A sur la manette du joueur 2.
   963	= Appuyez sur le bouton A sur la manette du joueur 3.
   964	= Appuyez sur le bouton A sur la manette du joueur 4.
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= Confirmer?
   9c5	= Modifier
   9c6	= Appuyez sur le bouton A sur la manette du joueur 1.
   9c7	= Appuyez sur le bouton A sur la manette du joueur 2.
   9c8	= Appuyez sur le bouton A sur la manette du joueur 3.
   9c9	= Appuyez sur le bouton A sur la manette du joueur 4.
   9ca	= Confirmez l'attribution des manettes.
   9cb	= Modifiez l'attribution des manettes.
   9cc	= \z{802,110000}Ajouter une\n
	+ télécommande Wii
   9cd	= Appuyez simultanément sur \u{f043} et \u{f030}.
   9ce	= \z{802,110000}OK
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= Voulez-vous ajouter la chaîne\n
	+ Mario Kart à votre menu Wii?\n
	+ Cette opération nécessite\n
	+ \z{a02,1000000000} blocs d'espace libre.
   a29	= Oui
   a2a	= Non
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= Ajouter la chaîne Mario Kart
   a30	= En ajoutant la chaîne Mario Kart\n
	+ à votre menu Wii, vous pourrez\n
	+ accéder à cette chaîne sans\n
	+ insérer le disque Mario Kart Wii.
   a31	= La chaîne Mario Kart a déjà\n
	+ été ajoutée à votre menu Wii.
   a32	= Il n'y a pas assez d'espace libre\n
	+ dans la mémoire de la console Wii.\n
	+ Libérez \z{a02,1000000000} blocs en transférant\n
	+ des données vers une carte SD\n
	+ ou en les effaçant depuis l'écran\n
	+ de gestion des données.
   a33	= Il n'y a pas assez d'espace libre\n
	+ dans la mémoire de la console Wii.\n
	+ Transférez des données sur une carte SD\n
	+ ou effacez des données inutiles depuis\n
	+ l'écran de gestion des données.
   a34	= Il n'y a pas de chaîne libre dans le\n
	+ menu Wii. Transférez des chaînes sur\n
	+ une carte SD ou effacez des chaînes\n
	+ depuis l'écran de gestion des données.
   a35	= La mémoire de la console Wii contient\n
	+ des données corrompues. Veuillez vous\n
	+ référer au mode d'emploi Wii pour plus\n
	+ de détails.
   a36	/
   bb8	= Grand Prix
   bb9	= Contre-la-montre
   bba	= Course VS
   bbb	= Bataille
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}Karts uniquement
   bbf	= 100cc\n
	+ \z{800,32}Motos uniquement
   bc0	= 150cc\n
	+ \z{800,32}Karts et motos
   bc1	= Miroir\n
	+ \z{800,32}Karts et motos
   bc2	= 50cc\n
	+ \z{800,32}Karts et motos
   bc3	= 100cc\n
	+ \z{800,32}Karts et motos
   bc4	= \z{802,110000}Changer
   bc5	/
   bea	= Décrochez la première place!
   beb	= Tentez d'établir le meilleur temps!
   bec	= Faites une course selon vos propres règles!
   bed	= Faites une course selon vos propres règles!
   bee	= Participez à une bataille par équipes!
   bef	= Formez deux équipes et affrontez-vous!
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= Grand Prix pour débutants (karts uniquement).
   bf5	= Grand Prix standard (motos uniquement).
   bf6	= Grand Prix pour experts (karts et motos).
   bf7	= Grand Prix en mode miroir (karts et motos).
   bf8	= Grand Prix pour débutants (karts et motos).
   bf9	= Grand Prix standard (karts et motos).
   bfa	/
   c1c	= Contre-la-montre
   c1d	= Il n'y a aucun fantôme pour ce circuit.
   c1e	/
   c1f	= Classements
   c20	/
   c80	= Type de bataille
   c81	= Bataille de Ballons
   c82	= Chasse aux Pièces
   c83	/
   c84	/
   cb2	= Eclatez les ballons de vos adversaires!
   cb3	= Récupérez le plus de pièces possible!
   cb4	/
   cb5	/
   ce9	= Mode de dérapage
   cea	= Automatique
   ceb	= Manuel
   cec	= Aide
   ced	= ■ Dérapage automatique ■\n
	+ Vous dérapez automatiquement lorsque\n
	+ vous tournez \z{802,170000}mais ne pouvez ni sauter\n
	+ ni utiliser de mini-turbo.\n
	+ \n
	+ ■ Dérapage manuel ■\n
	+ \z{802,170000}Sautez pendant que vous tournez pour\n
	+ déraper. Continuez à déraper pour charger\n
	+ un mini-turbo et obtenir un boost de vitesse.
   cee	= Explications sur les modes de dérapage.
   cef	= Vitesse
   cf0	= Poids
   cf1	= Accélération
   cf2	= Maniabilité
   cf3	= Dérapage
   cf4	= Hors-piste
   cf5	= Mini-turbo
   cf6	/
   d16	= Dérapage automatique (sans mini-turbo).
   d17	= Dérapage manuel (avec mini-turbo).
   d18	/
   d20	= \z{802,110000} Trophée: \z{802,110001} Classe: \z{802,110002}
   d21	= Contre-la-montre
   d22	= \z{802,110000}
   d23	= Course VS \z{802,110000}
   d24	= \u{f069} Bataille de Ballons
   d25	= \u{f068} Chasse aux Pièces
   d26	= Course VS par équipes \z{802,110000}
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	=  　
   d37	/
   d38	/
   d48	= Règles
   d49	= Choix de la cylindrée
   d4a	= Choix du pilote
   d4b	= Choix du véhicule
   d4c	= Choix de la coupe
   d4d	= Choix du circuit
   d4e	= Choix de l'arène
   d4f	= Choix du fantôme
   d50	= Bataille
   d51	= Course VS
   d52	= Cylindrée
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= Miroir
   d57	= 50cc, pour les débutants.
   d58	= 100cc, pour les pilotes confirmés.
   d59	= 150cc, pour les experts.
   d5a	= 150cc, mode miroir.
   d5c	= Ordi
   d5d	= Facile
   d5e	= Normal
   d5f	= Difficile
   d60	= Aucun
   d61	= Les pilotes ordi sont des pilotes débutants.
   d62	= Les pilotes ordi sont des pilotes confirmés.
   d63	= Les pilotes ordi sont des pilotes experts.
   d64	= Aucun pilote ordi.
   d66	= Véhicules
   d67	= Karts
   d68	= Motos
   d69	= Tous
   d6a	= Les pilotes ordi roulent en kart uniquement.
   d6b	= Les pilotes ordi roulent en moto uniquement.
   d6c	= Les pilotes ordi roulent en kart et moto.
   d6d	= Les pilotes ordi roulent en kart uniquement.
   d6e	= Les pilotes ordi roulent en moto uniquement.
   d6f	= Les pilotes ordi roulent en kart et moto.
   d70	= Circuits
   d71	= Au choix
   d72	= Aléatoire
   d73	= Dans l'ordre
   d74	= Le circuit est choisi avant chaque course.
   d75	= Les circuits sont sélectionnés au hasard.
   d76	= Les circuits se succèdent dans l'ordre des coupes.
   d77	= L'arène est choisie avant chaque bataille.
   d78	= Les arènes sont sélectionnées au hasard.
   d79	= Les arènes se succèdent dans l'ordre.
   d7a	= Courses
   d7b	= \z{a02,1000000001}
   d7c	= Victoires
   d84	= \z{a02,1000000001}
   d85	= Course par équipes
   d86	= Course par équipes
   d87	= Course solo
   d88	/
   d89	= Sélectionnez le nombre de courses.
   d8a	= Sélectionnez le nombre de victoires.
   d8b	= Menez votre équipe à la victoire!
   d8c	= Chacun pour soi et que le meilleur gagne!
   d8d	= Arènes
   d8e	= Voulez-vous quitter\n
	+ la partie en cours?
   d8f	= Voulez-vous quitter\n
	+ la partie en cours?
   d90	= Confirmez ces règles.
   d91	= Confirmez ces règles.
   d92	= Réglez divers paramètres.
   d93	= Réglez divers paramètres.
   d94	/
   d98	= Objets
   d99	= Recommandé
   d9a	= Explosif
   d9b	= Classique
   d9c	= Aucun
   d9d	= Les objets apparaissent de manière équilibrée.
   d9e	= Les objets puissants apparaissent plus souvent.
   d9f	= Les objets puissants apparaissent moins souvent.
   da0	= Aucun objet n'est disponible.
   da1	/
   dac	= Choix de l'équipe
   dad	= Equipe\n
	+ bleue
   dae	= Equipe\n
	+ rouge
   daf	= Equipes
   db0	= Jouez avec ces équipes.
   db1	= Joueurs
   db2	= \c{blue1}Equipe\n
	+ bleue
   db3	= \c{red2}Equipe\n
	+ rouge
   db4	= Tous les joueurs sont dans la même équipe.\n
	+ \n
	+ Veuillez faire une nouvelle sélection.
   db5	/
   dde	= Commencer?
   ddf	= Commencer?
   de0	= Commencer?
   de1	/
   fa0	= Mondial
   fa1	= Continental
   fa2	= Amis
   fa3	= Course fantôme
   fa4	= Connexion Wi-Fi Nintendo
   fa5	/
   fa6	/
   fa7	/
   fa8	= Vous n'avez aucun ami enregistré\n
	+ dans votre liste d'amis.\n
	+ \n
	+ Enregistrez des amis pour jouer\n
	+ avec eux via la CWF Nintendo.
   fa9	/
   faa	= Accès à la connexion Wi-Fi Nintendo...
   fab	= Voulez-vous interrompre la\n
	+ connexion Wi-Fi Nintendo?
   fac	= Oui
   fad	= Non
   fae	/
   faf	/
   fb0	= Impossible d'accéder à la connexion\n
	+ Wi-Fi Nintendo avec ce nom de Mii.\n
	+ Veuillez changer le nom de votre Mii\n
	+ et recommencer.
   fb1	/
   fb2	= La connexion avec les autres\n
	+ joueurs a été interrompue.
   fb3	= Quitter la salle?
   fb4	= Fermer la salle?
   fb5	= La connexion avec le créateur de la\n
	+ salle a été interrompue. Vous allez\n
	+ retourner à votre liste d'amis.
   fb6	= Impossible de rejoindre cet ami.\n
	+ \n
	+ Veuillez réessayer ultérieurement.
   fb7	/
   fb8	= Equipes
   fb9	/
  1004	= Salle
  1005	= Créer une salle
  1006	= Connexion en cours...
  1007	/
  1008	/
  1009	/
  100a	= Recherche de joueurs...
  100b	= Les joueurs ont été sélectionnés!
  100c	= En attente d'amis...
  100d	= Commencer
  100e	= Faisons un Grand Prix!
  100f	= Faisons un Grand Prix par équipes!
  1010	= Faisons une Bataille de Ballons!
  1011	= Faisons une Chasse aux Pièces!
  1012	/
  1036	= Nouveaux amis
  1037	= Soyons amis, \z{802,120000}!
  1038	= Aucun nouvel ami à enregistrer.
  1039	/
  103a	= Nous sommes amis, \z{802,120000}!
  103b	/
  1068	= Message
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\n
	+ \z{800,46}Pts Course
  106b	= \z{a02,1000000000}\n
	+ \z{800,46}Pts Bataille
  106c	= Veuillez patienter...
  106d	= Course VS mondiale
  106e	= Bataille mondiale
  106f	= Course VS continentale
  1070	= Bataille continentale
  10cc	= Choisissez un mode.
  10cd	= Veuillez patienter...
  10ce	= Le mode de jeu a été sélectionné.
  10cf	/
  10d0	/
  10d1	= Course VS
  10d2	= Course VS
  10d3	/
  10d4	= Bataille
  10d5	= Bataille
  10d6	= Affrontez des joueurs du monde entier.
  10d7	= Affrontez des joueurs de votre continent.
  10d8	= Affrontez vos amis.
  10d9	= Affrontez les fantômes de joueurs du monde entier.
  10da	= Affrontez jusqu'à 11 autres joueurs!
  10db	= Faites une bataille par équipes (jusqu'à 6 contre 6)!
  10dc	= Créez une salle et affrontez vos amis.
  10dd	= Consultez le statut de vos amis.
  10de	= Enregistrez un nouveau code ami.
  10df	/
  10e0	= La course suivante sera en 100cc!
  10e1	= La course suivante sera en 150cc!
  10e2	= La course suivante sera en mode miroir!
  10e3	= \u{f069} Bataille de Ballons
  10e4	= \u{f068} Chasse aux Pièces
  10e5	= La course suivante sera en 100cc!
  10e6	= La course suivante sera en 150cc!
  10e7	= La course suivante sera en mode miroir!
  10e8	= La course suivante sera en 100cc!
  10e9	= La course suivante sera en 150cc!
  10ea	= La course suivante sera en mode miroir!
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= Voulez-vous voter pour un circuit?
  10ff	= Voter
  1100	= Aléatoire
  1101	= ???
  1102	= Votes circuit
  1103	= Votes arène
  1104	= Voulez-vous voter pour une arène?
  1105	= Course en préparation...
  1106	= Bataille en préparation...
  1107	/
  1108	= Vote des joueurs en cours...
  1109	= 
  110a	= Le circuit a été sélectionné!
  110b	= L'arène a été sélectionnée!
  110c	/
  1112	= Envoyez un message à tous les joueurs de la salle.
  1113	= Choisissez le message à envoyer.
  1114	= Commencez la partie avec ces joueurs.
  1115	= Choisissez le mode de jeu.
  1116	= Invitez d'autres joueurs à devenir vos amis.
  1117	= Ce message ne sera envoyé qu'à la personne que vous invitez.
  1118	/
  1126	= Saisissez un code ami.
  1127	= Enregistrez ce code ami.
  1128	= Affrontez vos amis.
  1129	= Ce code ami va être effacé.
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= Me voilà!

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= Erreur de communication.\n
	+ Vous allez retourner au\n
	+ menu principal.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11f9	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11fa	= Soit la connexion Wi-Fi Nintendo connaît\n
	+ un trafic trop important, soit le service\n
	+ est interrompu. Veuillez réessayer\n
	+ ultérieurement. Pour toute assistance,\n
	+ visitez le site support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11fb	= Impossible de se connecter à\n
	+ la connexion Wi-Fi Nintendo.\n
	+ Pour toute assistance, consultez\n
	+ le mode d'emploi ou visitez le\n
	+ site support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11fc	= Le service de connexion Wi-Fi Nintendo\n
	+ pour ce logiciel a été interrompu. Visitez\n
	+ le site support.nintendo.com pour une\n
	+ liste actuelle des logiciels compatibles\n
	+ avec la connexion Wi-Fi Nintendo.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11fd	= Impossible de se connecter à\n
	+ la connexion Wi-Fi Nintendo.\n
	+ Pour toute assistance, consultez\n
	+ le mode d'emploi ou visitez le\n
	+ site support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11fe	= Soit la connexion Wi-Fi Nintendo connaît\n
	+ un trafic trop important, soit le service\n
	+ est interrompu. Veuillez réessayer\n
	+ ultérieurement. Pour toute assistance,\n
	+ visitez le site support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  11ff	= Il n'y a pas assez d'espace libre\n
	+ dans la mémoire de la console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1200	= La mémoire de la console Wii\n
	+ est endommagée. Veuillez vous\n
	+ référer au mode d'emploi Wii\n
	+ pour plus de détails.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1201	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1202	= Le téléchargement a échoué.\n
	+ Veuillez réessayer. Pour toute assistance,\n
	+ visitez le site support.nintendo.com.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1203	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1204	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1205	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1206	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1207	= La connexion au réseau a été interrompue\n
	+ pendant la transmission des données.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1208	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1209	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120a	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120b	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120c	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120d	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120e	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  120f	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1210	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1211	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1212	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
	+ Code d'erreur: \z{a02,1000000005}
  1213	= Impossible de se connecter à Internet.\n
	+ Vérifiez les paramètres Internet de la\n
	+ console Wii.\n
	+ \n
