#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- online chat

  M01	= こんにちは！
   7ee	= マルチプレイ （2人）
   7ef	= マルチプレイ （3人）
   7f0	= マルチプレイ （4人）
   7f1	= Wi-Fi （1人）
   7f2	= Wi-Fi （2人）
   7f3	/
   802	= 「マリオカートWii」の\n
	+ ディスクを起動します。\n
	+ \n
	+ Wii本体にディスクを入れて\n
	+ しばらくお待ちください。
   803	= ディスクを読めませんでした。\n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。
   804	= エラーが発生しました。\n
	+ \n
	+ イジェクトボタンを押して\n
	+ ディスクを取り出してから\n
	+ 本体の電源をOFFにして\n
	+ 本体の取扱説明書の指示に従ってください。
   805	= Wii本体保存メモリの空き容量が不足しています。\n
	+ セーブデータ画面で\n
	+ データをSDカードに移動するか\n
	+ データを消去して\n
	+ 23ブロックの空きブロックを用意してください。
   806	= Wii本体保存メモリが壊れました。\n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。
   807	= データが壊れているため\n
	+ このファイルは使用できません。\n
	+ ファイルを削除して新しいファイルを作成します。\n
	+ よろしいですか？
   808	/
   809	= Wii本体保存メモリの\n
	+ 書き込み／読み出しができませんでした。\n
	+ \n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。
   80a	= Wiiメニューへもどります。
   80b	= セーブなしであそぶ
   80c	= Wiiメニューへもどる
   80d	= セーブファイルがないため\n
	+ このメニューはえらべません。
   80e	= セーブファイルの読み出しが\n
	+ できませんでした。\n
	+ \n
	+ 「マリオカートWii」の\n
	+ ディスクを入れてください。
   80f	= ディスクを起動
   810	= Wiiメニューへもどります。\n
	+ よろしいですか？
   811	= セーブ中です。\n
	+ 電源ボタンやリセットボタンに\n
	+ さわらないでください。
   812	= 「似顔絵チャンネル」のセーブデータが\n
	+ 読み込めませんでした。\n
	+ \n
	+ 「似顔絵チャンネル」で\n
	+ 確認をしてください。
   813	= いま選んだMiiを\n
	+ 「似顔絵チャンネル」で消去すると\n
	+ 「マリオカートWii」で使用するMiiも\n
	+ 消えてしまいます。\n
	+ \n
	+ ご注意ください。
   814	= ゲストのMiiで\n
	+ ライセンスをつくりました。\n
	+ \n
	+ 新しいMiiは\n
	+ 「似顔絵チャンネル」で\n
	+  作ることができます。
   815	= 1回におくれるゴースト挑戦状は\n
	+ 5通までです。\n
	+ \n
	+ 次におくれるようになるまで\n
	+ しばらくお待ちいただく必要があります。\n
	+ \n
	+ 「マリオカートWii」を次回起動したときに\n
	+ もういちどやりなおしてください。
   816	= セーブデータがありませんので\n
	+ このモードはご利用いただけません。\n
	+ \n
	+ Wii本体保存メモリの整理は\n
	+ Wii本体のセーブデータ画面で\n
	+ 行うことができます。
   817	= Wii本体保存メモリの空きファイル数が\n
	+ 不足しています。\n
	+ \n
	+ セーブデータ画面でデータをSDカードに移動するか\n
	+ データを消去してください。
   818	= Wi-Fiコネクションから切断して\n
	+ トップメニューにもどります。
   819	= 国設定が変更されていますので、\n
	+ セーブファイルを作り直す必要があります。\n
	+ セーブファイルを作り直したくない場合は、\n
	+ Wiiメニューにもどり、国設定を元にもどしてください。
   81a	= セーブファイルを作り直す
   81b	/
   834	/
   835	= 「マリオカートWii」をあそぶための\n
	+ 新しいライセンスをつくります。
   836	= ライセンスをつくる
   837	= ライセンスをけす
   838	= ライセンスセレクト
   839	/
   83a	/
   83b	/
   83c	/
   83d	/
   83e	= \z{a02,1000000004}-\z{a02,1000010004}-\z{a02,1000020004}
   83f	= \z{802,120000}さんの\n
	+ ライセンスをつくります。\n
	+ よろしいですか？
   840	= ライセンスのMiiを\n
	+ \z{802,120000}さんに  へんこうします。\n
	+ よろしいですか？
   841	= \z{602,0}さん\n
	+ \z{802,120000}さん\n
	+ 2人でWi-Fiコネクションに接続します。
   842	/
   848	= きろくをみる
   849	= \z{602,0}さんの  きろくをみます
   84a	= ライセンスのMiiを  へんこうします
   84b	= Miiをえらんでください
   84c	/
   84d	/
   84e	/
   84f	/
   850	= \z{602,0}さんの  ライセンスをけします
   851	/
   852	/
   853	/
   854	/
   855	/
   856	/
   857	= とじる
   858	/
   866	/
   867	= 新しいライセンスができました。
   868	= \z{602,0}さんの\n
	+ ライセンスをけします。\n
	+ よろしいですか？
   869	= \z{602,0}さんの\n
	+ ライセンスをけしました。
   86a	/
   86b	= ライセンスのMiiが  かわりました。
   86c	/
   86d	= ライセンスをけしています
   86e	= フレンドリストやゴーストなども\n
	+ すべて消去されます。\n
	+ ほんとうによろしいですか？
   86f	/
   898	= Miiをかえる
   899	= Miiをえらんでください
   89a	= Wiiほんたい
   89b	= ゲスト
   89c	/
   89d	= ライセンスのMiiが\n
	+ 「似顔絵チャンネル」で消去されました。\n
	+ もういちどMiiをえらんでください。
   89e	/
   89f	/
   8a0	/
   8a1	/
   8a2	/
   8ca	/
   8cb	/
   8cc	/
   8cd	/
   8ce	/
   8cf	/
   8d0	/
   8d1	/
   8d2	= Wiiリモコンの電池が\n
	+ すくなくなってきました。
   8d3	/
   8d4	/
   8d5	/
   8d6	/
   8fc	/
   8fd	= 1\z{800,3c}人
   8fe	= 2\z{800,3c}人
   8ff	= 3\z{800,3c}人
   900	= 4\z{800,3c}人
   901	= \z{e03,0,f044001ef047001e}
   902	= \z{e03,0,f05e001ef05f001e}
   903	/
   960	/
   961	= コントローラとうろく
   962	= 2Pがつかうコントローラの Aボタン をおしてください
   963	= 3Pがつかうコントローラの Aボタン をおしてください
   964	= 4Pがつかうコントローラの Aボタン をおしてください
   965	/
   966	/
   967	/
   968	/
   969	/
   9c4	= これでいいですか？
   9c5	= へんこう
   9c6	= 1人目のコントローラの  Aボタンをおしてください
   9c7	= 2人目のコントローラの  Aボタンをおしてください
   9c8	= 3人目のコントローラの  Aボタンをおしてください
   9c9	= 4人目のコントローラの  Aボタンをおしてください
   9ca	= このコントローラであそびます
   9cb	= コントローラをへんこうします
   9cc	= \z{802,110000}リモコンの追加
   9cd	= \u{f043}と\u{f030}を同時に押してください
   9ce	= \z{802,110000}決定
   9cf	/
   9d0	/
   9d1	/
   9d2	/
   9f6	= \u{f103}
   9f7	= \u{f128}
   9f8	= \u{f129}
   9f9	= \u{f12a}
   9fa	= \u{f12b}
   9fb	= \c{yellow}OK
   9fc	= \c{blue2}OK
   9fd	= \c{red3}OK
   9fe	= \c{green}OK
   9ff	/
   a28	= 「マリオカートチャンネル」\n
	+ （\z{a02,1000000000}ブロック）\n
	+ をWii本体に保存しますか？
   a29	= する
   a2a	= しない
   a2b	/
   a2c	/
   a2d	/
   a2e	/
   a2f	= マリオカートチャンネルの保存
   a30	= 「マリオカートチャンネル」を\n
	+ Wii本体に保存できます。\n
	+ \n
	+ Wiiディスクを入れなくても\n
	+ 「マリオカートチャンネル」を\n
	+ ご利用いただけるようになります。
   a31	= 「マリオカートチャンネル」は\n
	+ Wii本体に保存されています。
   a32	= Wii本体保存メモリの空き容量が\n
	+ 不足しています。\n
	+ \n
	+ セーブデータ画面で\n
	+ データをSDカードに移動するか\n
	+ データを消去して\n
	+ \z{a02,1000000000}ブロックの空きブロックを\n
	+ 用意してください。
   a33	= Wii本体保存メモリの空きファイル数が\n
	+ 不足しています。\n
	+ \n
	+ セーブデータ画面で\n
	+ データをSDカードに移動するか\n
	+ データを消去してください。
   a34	= 空きチャンネル数が不足しています。\n
	+ \n
	+ Wiiメニューのセーブデータ画面で\n
	+ チャンネルをSDカードにコピーするか\n
	+ チャンネルを消去してください。
   a35	= システムファイルが\n
	+ こわれています。\n
	+ \n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。
   a36	/
   bb8	= グランプリ
   bb9	= タイムアタック
   bba	= VS
   bbb	= バトル
   bbc	/
   bbd	/
   bbe	= 50cc\n
	+ \z{800,32}カートのみ
   bbf	= 100cc\n
	+ \z{800,32}バイクのみ
   bc0	= 150cc\n
	+ \z{800,32}カート＆バイク
   bc1	= ミラー\n
	+ \z{800,32}カート＆バイク
   bc2	= 50cc\n
	+ \z{800,32}カート＆バイク
   bc3	= 100cc\n
	+ \z{800,32}カート＆バイク
   bc4	= \z{802,110000}きりかえ
   bc5	/
   bea	= 優勝めざして  カップ戦をおこないます
   beb	= １台で走って  最速レコードをめざします
   bec	= お好みの設定で  レースをします
   bed	= お好みの設定で  レースをします
   bee	= ２チームにわかれて  バトルをします
   bef	= ２チームにわかれて  バトルをします
   bf0	/
   bf1	/
   bf2	/
   bf3	/
   bf4	= ビギナーむけの  グランプリです（カートのみ）
   bf5	= スタンダードな  グランプリです（バイクのみ）
   bf6	= エキスパートの  グランプリです（カート＆バイク）
   bf7	= 左右反転された  グランプリです（カート＆バイク）
   bf8	= ビギナーむけの  グランプリです（カート＆バイク）
   bf9	= スタンダードな  グランプリです（カート＆バイク）
   bfa	/
   c1c	= タイムアタックメニュー
   c1d	= このコースのゴーストはありません
   c1e	/
   c1f	= ランキングをみる
   c20	/
   c80	= バトルセレクト
   c81	= ふうせんバトル
   c82	= あつめてコイン
   c83	/
   c84	/
   cb2	= 相手チームのふうせんを  わるゲームです
   cb3	= ステージのコインを  とりあうゲームです
   cb4	/
   cb5	/
   ce9	= ドリフトモード
   cea	= オートドリフト
   ceb	= マニュアルドリフト
   cec	= ヘルプ
   ced	= ■ オートドリフト ■\n
	+ 1．ハンドルをきると  じどうでドリフトします　\n
	+ 2．スピードをおとさず  コーナーをまがれます！\n
	+ （\z{802,170000}ミニジャンプとミニターボは 
	+  つかえません）\n
	+ \n
	+ ■ マニュアルドリフト ■\n
	+ 1．\z{802,170000}ミニジャンプのあとに 
	+  ドリフトします　　　　　\n
	+ 2．ドリフトをつづけると  ミニターボがたまります　\n3．ミニターボをつかうと
	+   スピードアップできます！
   cee	= ドリフトモードの  説明をみます
   cef	= スピード
   cf0	= おもさ
   cf1	= かそく
   cf2	= ハンドリング
   cf3	= ドリフト
   cf4	= ダートそうこう
   cf5	= ミニターボ
   cf6	/
   d16	= じどうで  ドリフトします（ミニターボなし）
   d17	= ボタンで  ドリフトします（ミニターボあり）
   d18	/
   d20	= \z{802,110000}　トロフィー：\z{802,110001}　ランク：
	+ \z{802,110002}
   d21	= タイムアタック
   d22	= \z{802,110000}
   d23	= \z{802,110000}  VS
   d24	= \u{f069} ふうせんバトル
   d25	= \u{f068} あつめてコイン
   d26	= \z{802,110000}  VS  チーム戦
   d2a	= \u{f06a}
   d2b	= \u{f06b}
   d2c	= \u{f06c}
   d2d	= \u{f063}
   d2e	= \u{f062}
   d2f	= \u{f061}
   d30	= \u{f078}
   d31	= \u{f079}
   d32	= \u{f07a}
   d33	= \u{f07b}
   d34	= \u{f07c}
   d35	= F
   d36	=  　
   d37	/
   d38	/
   d48	= ルール設定
   d49	= クラスセレクト
   d4a	= キャラクターセレクト
   d4b	= マシンセレクト
   d4c	= カップセレクト
   d4d	= コースセレクト
   d4e	= ステージセレクト
   d4f	= ゴーストセレクト
   d50	= バトル
   d51	= VS
   d52	= クラス
   d53	= 50cc
   d54	= 100cc
   d55	= 150cc
   d56	= ミラー
   d57	= ビギナーむけ  50ccのスピードです
   d58	= スタンダードな  100ccのスピードです
   d59	= エキスパートむけ  150ccのスピードです
   d5a	= 左右反転コースで  150ccのスピードです
   d5c	= COM
   d5d	= よわい
   d5e	= ふつう
   d5f	= つよい
   d60	= なし
   d61	= COMキャラクターを  よわめにします
   d62	= COMキャラクターを  ふつうにします
   d63	= COMキャラクターを  つよめにします
   d64	= COMキャラクターを  出場させません
   d66	= COMマシン
   d67	= カートのみ
   d68	= バイクのみ
   d69	= すべて
   d6a	= COMマシンを  カートのみにします
   d6b	= COMマシンを  バイクのみにします
   d6c	= COMマシンを  カート＆バイクにします
   d6d	= COMマシンを  カートのみにします
   d6e	= COMマシンを  バイクのみにします
   d6f	= COMマシンを  カート＆バイクにします
   d70	= コース
   d71	= えらぶ
   d72	= おまかせ
   d73	= じゅんばん
   d74	= １レースごとに  コースをえらびます
   d75	= 自動的に  コースがえらばれます
   d76	= カップの順番で  コースがえらばれます
   d77	= １戦ごとに  ステージをえらびます
   d78	= 自動的に  ステージがえらばれます
   d79	= 順番に  ステージがえらばれます
   d7a	= レース数
   d7b	= \z{a02,1000000001} レース
   d7c	= 勝ち数
   d84	= \z{a02,1000000001} 勝
   d85	= チーム戦
   d86	= チーム戦
   d87	= 個人戦
   d88	/
   d89	= レースの回数を  えらべます
   d8a	= 優勝するための勝ち数を  設定します
   d8b	= ２チームにわかれて  合計ポイントをきそいます
   d8c	= 個人のポイントで  総合順位をきそいます
   d8d	= ステージ
   d8e	= VSをやめます。\n
	+ よろしいですか？
   d8f	= バトルをやめます。\n
	+ よろしいですか？
   d90	= このルールで  レースをします
   d91	= このルールで  バトルをします
   d92	= レースのルールを  設定できます
   d93	= バトルのルールを  設定できます
   d94	/
   d98	= アイテム
   d99	= おすすめ
   d9a	= ダイナミック
   d9b	= ストイック
   d9c	= なし
   d9d	= 各アイテムが  バランスよく出現します
   d9e	= 強力なアイテムが  出現しやすくなります
   d9f	= 強力なアイテムが  出現しにくくなります
   da0	= アイテムを  出現させません
   da1	/
   dac	= チームセッティング
   dad	= ブルー\n
	+ チーム
   dae	= レッド\n
	+ チーム
   daf	= チームのかくにん
   db0	= このチームであそびます
   db1	= メンバーのかくにん
   db2	= \c{blue1}ブルー\n
	+ チーム
   db3	= \c{red2}レッド\n
	+ チーム
   db4	= みんなが  同じチームになっています。\n
	+ \n
	+ もういちど  えらびなおしてください。
   db5	/
   dde	= レースをはじめます
   ddf	= バトルをはじめます
   de0	= 大会をはじめます
   de1	/
   fa0	= せかいのだれとでも
   fa1	= こくないのだれかと
   fa2	= フレンドと
   fa3	= ゴーストバトル
   fa4	= ネットワークせってい
   fa5	/
   fa6	/
   fa7	/
   fa8	= フレンドがとうろくされていません。\n
	+ \n
	+ 友だちを「フレンドとうろく」すると\n
	+ いっしょにあそべるようになります。
   fa9	/
   faa	= Wi-Fiコネクションに接続しています
   fab	= Wi-Fiコネクションから切断します。\n
	+ よろしいですか？
   fac	= はい
   fad	= いいえ
   fae	/
   faf	/
   fb0	= お使いのMiiのニックネームでは\n
	+ Wi-Fiコネクションをご利用いただけません。\n
	+ \n
	+ 大変申し訳ありませんが\n
	+ Miiのニックネームを変更してから\n
	+ 接続しなおしてください。
   fb1	/
   fb2	= メンバーとの接続が切れました。
   fb3	= フレンドルームをでます。\n
	+ よろしいですか？
   fb4	= フレンドルームをとじます。\n
	+ よろしいですか？
   fb5	= フレンドルームをひらいた方と\n
	+ 接続が切れました。\n
	+ \n
	+ フレンドリストにもどります。
   fb6	= フレンドにごうりゅうが\n
	+ できませんでした。\n
	+ \n
	+ しばらく待ってから\n
	+ もう一度おためしください。
   fb7	/
   fb8	= メンバーしょうかい
   fb9	/
  1004	= フレンドルーム
  1005	= レースをしゅさい
  1006	= フレンドにごうりゅうしています
  1007	/
  1008	/
  1009	/
  100a	= たいせんあいてをさがしています
  100b	= たいせんあいてがきまりました！
  100c	= フレンドをまっています
  100d	= しめきり
  100e	= グランプリ  こじんせん  にけっていしました！
  100f	= グランプリ  チームせん  にけっていしました！
  1010	= ふうせんバトル  にけっていしました！
  1011	= あつめてコイン  にけっていしました！
  1012	/
  1036	= とうろく
  1037	= \z{802,120000}さん  フレンドとうろく  おねがいします！
  1038	= 新しくフレンドになれる人は いないようです。
  1039	/
  103a	= \z{802,120000}さん  フレンドとうろく  OKです！
  103b	/
  1068	= メッセージ
  1069	= \z{a02,1000000002}/\z{a02,1000010002}
  106a	= \z{a02,1000000000}\z{800,46}VR
  106b	= \z{a02,1000000000}\z{800,46}BR
  106c	= もうしばらくお待ちください
  106d	= せかい  VS
  106e	= せかい  バトル
  106f	= こくない  VS
  1070	= こくない  バトル
  10cc	= あそびかたを  えらんでください
  10cd	= しばらくおまちください
  10ce	= あそびかたが  きまりました
  10cf	/
  10d0	/
  10d1	= VS
  10d2	= VS
  10d3	/
  10d4	= バトル
  10d5	= バトル
  10d6	= 世界中の人々と  一緒にあそびます
  10d7	= 国内の人々と  一緒にあそびます
  10d8	= フレンドと  一緒にあそびます
  10d9	= 世界各地のゴーストと  次々に対戦します
  10da	= 最大12人が集まって  レースをします
  10db	= 最大 6人 VS 6人 で  バトルをします
  10dc	= フレンドルームをひらいて  メンバーを待ちます
  10dd	= フレンドリストから  ごうりゅうします
  10de	= 友だちのフレンドコードを  とうろくします
  10df	/
  10e0	= つぎのレースは  100ccです
  10e1	= つぎのレースは  150ccです！
  10e2	= つぎのレースは  ミラーです！！
  10e3	= \u{f069} ふうせんバトル
  10e4	= \u{f068} あつめてコイン
  10e5	= つぎのレースは  100ccです
  10e6	= つぎのレースは  150ccです！
  10e7	= つぎのレースは  ミラーです！！
  10e8	= つぎのレースは  100ccです
  10e9	= つぎのレースは  150ccです！
  10ea	= つぎのレースは  ミラーです！！
  10eb	/
  10ec	/
  10ed	/
  10ee	/
  10fe	= コースをえらびますか？
  10ff	= えらぶ
  1100	= おまかせ
  1101	= ？
  1102	= コースとうひょう
  1103	= ステージとうひょう
  1104	= ステージをえらびますか？
  1105	= レースのじゅんびをしています
  1106	= バトルのじゅんびをしています
  1107	/
  1108	= みんなのとうひょうを  待っています
  1109	= 
  110a	= コースがきまりました！
  110b	= ステージがきまりました！
  110c	/
  1112	= メンバー全員に  メッセージをおくります
  1113	= メッセージを  えらんでください
  1114	= メンバーのぼしゅうを  しめきります
  1115	= あそびかたを  えらんでください
  1116	= フレンドとうろくの  おさそいをします
  1117	= よびかける相手に  メッセージをおくります
  1118	/
  1126	= フレンドコードを  とうろくしてください
  1127	= このフレンドコードを  とうろくします
  1128	= フレンドと いっしょにあそびます
  1129	= フレンドリストから  さくじょします
  112a	/
  112b	/
  112c	/
  112d	/
  1193	= ごうりゅうしました！

  11f4	/
  11f5	/
  11f6	/
  11f7	/
  11f8	= 通信エラーがはっせいしました。\n
	+ トップメニューにもどります。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11f9	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11fa	= Wi-Fiコネクションが混み合っているか\n
	+ サービスが停止しているために\n
	+ 接続できません。\n
	+ しばらく待ってからやり直してください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11fb	= Wi-Fiコネクションに接続できません。\n
	+ 詳しくは取扱説明書をご覧ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11fc	= このソフトのWi-Fiコネクションサービスは\n
	+ 終了しました。\n
	+ ご利用ありがとうございました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11fd	= Wi-Fiコネクションに接続できません。\n
	+ くわしくは  取扱説明書を\n
	+ お読みください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11fe	= Wi-Fiコネクションが混み合っているか\n
	+ サービスが停止しているために\n
	+ 接続できません。\n
	+ しばらく待ってやり直してください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  11ff	= Wii本体保存メモリの空き容量が\n
	+ 不足しています。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1200	= Wii本体保存メモリが壊れました。\n
	+ くわしくは  Wii本体の取扱説明書を\n
	+ お読みください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1201	= 通信エラーによって\n
	+ インターネットから\n
	+ 切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1202	= ダウンロードに失敗しました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1203	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1204	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1205	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1206	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1207	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1208	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1209	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120a	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120b	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120c	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120d	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120e	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  120f	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1210	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1211	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1212	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1213	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1214	= インターネットに接続できません。\n
	+ \n
	+ Wii本体設定のインターネット設定を\n
	+ ご確認ください。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1215	= 通信エラーによって\n
	+ インターネットから切断されました。\n
	+ \n
	+ エラーコード：\z{a02,1000000005}
  1216	/
  1388	= マリオカートチャンネル
  1389	= フレンドにごうりゅう
  138a	= ランキング
  138b	= ゴーストレース
  138c	= 大会
  138d	/
  138e	= フレンドとうろく
  138f	/
  1390	= Wiiメニュー
  1391	= ゴースト受信リスト
  1392	= 大会
  1393	= フレンドリスト
  1394	/
  1395	/
  1396	= レースをはじめる
  1397	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！
  1398	= マイゴースト
  1399	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
	+ \n
	+ たくさんのゴーストと対戦して\n
	+ テクニックをみがいてください！\n
	+ \n
	+ \z{a02,1000000000}\z{c04,13a213a3}　\z{a02,1000010000}\z{c04,113a413a5}
  139a	= 世界各地のゴーストを\n
	+ 次々に受信します！\n
