#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

   3e8	= 
	+ nehmen (voraussichtlich \z{a02,1000000000} Spieler).\n
	+ Einen Moment bitte...
   53b	= Du kannst am nächsten Wettkampf teil-\n
	+ nehmen (voraussichtlich \z{a02,1000000000} Spieler).\n
	+ Einen Moment bitte...
   53c	= \n
	+ Die Ergebnisse stehen fest.\n
	+ Das Rennen ist beendet.
   53d	= \n
	+ 5 Minuten sind vergangen.\n
	+ Das Rennen ist beendet.
   53e	= Der Sieger ist vor 30 Sekunden\n
	+ über die Ziellinie gefahren.\n
	+ Das Rennen ist beendet.
   53f	= 
   540	= 
   541	= \u{f06d}
   578	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
   579	= --:--.---
   57a	= :
   57b	= .
   57c	= 
   581	= \z{802,110000} - Team-Versus-Rennen - \z{a02,1000000000}/
	+ \z{a02,1000010000}
   582	= \z{802,110000} - \z{802,110001} - 1. Rennen
   583	= \z{802,110000} - \z{802,110001} - 2. Rennen
   584	= \z{802,110000} - \z{802,110001} - 3. Rennen
   585	= \z{802,110000} - \z{802,110001} - Letztes Rennen
   586	= \z{802,110000} - Versus-Rennen - \z{a02,1000000000}/\z{a02,1000010000}
   587	= Ballonbalgerei
   588	= Münzenjäger

#--- [589:58c] engines
   589	= 50 ccm
   58a	= 100 ccm
   58b	= 150 ccm
   58c	= Spiegel

   58d	= \z{802,110000} - \z{802,110001}
   58e	= \z{802,110000} - Versus-Rennen
   58f	= RANG\040
   590	= \u{f063}
   591	= \u{f062}
   592	= \u{f061}
   593	= \u{f078}
   594	= \u{f079}
   595	= \u{f07a}
   596	= \u{f07b}
   597	= \u{f07c}
   598	= F
   599	= \z{802,110000} - Grand Prix
   59a	= \z{802,110000} - Team-Grand Prix
   59b	= \z{802,110000} - Team-Versus-Rennen
   59c	/
   59d	/
   59e	/
   59f	/
   5a0	= \z{802,110000} - Versus-Rennen - \z{802,110001}
   5a1	= \z{802,110002}\z{802,110000} - Grand Prix - 1. Rennen
   5a2	= \z{802,110002}\z{802,110000} - Grand Prix - 2. Rennen
   5a3	= \z{802,110002}\z{802,110000} - Grand Prix - 3. Rennen
   5a4	= \z{802,110002}\z{802,110000} - Grand Prix - Finale
   5a5	= \z{802,110002}Ballonbalgerei
   5a6	= \z{802,110002}Münzenjäger
   5a7	= (\z{a02,1000000000} Spieler)
   5a8	= 
   5a9	= \c{red2}
   5aa	= \c{blue1}
   5ab	= 
   5dc	= Item verwenden
   5dd	= Steuern
   5de	= Beschleunigen
   5df	= Bremsen/Driften
   5e0	= Bremsen
   5e1	= 

