#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

   3e8	= 
   53a	= Vous allez participer\n
	+ à la course suivante\n
	+ (\z{a02,1000000000} joueurs prévus).
   53b	= Vous allez participer\n
	+ à la bataille suivante\n
	+ (\z{a02,1000000000} joueurs prévus).
   53c	= \n
	+ Le classement a été établi.\n
	+ La course est terminée.
   53d	= \n
	+ 5 minutes se sont écoulées.\n
	+ La course est terminée.
   53e	= Le vainqueur a franchi la ligne\n
	+ d'arrivée il y a 30 secondes.\n
	+ La course est terminée.
   53f	= 
   540	= 
   541	= \u{f06d}
   578	= \z{a02,1000000002}:\z{a02,1000010002}.\z{a02,1000020003}
   579	= --:--.---
   57a	= :
   57b	= .
   57c	= 
   581	= Course VS par équipes \z{802,110000} - \z{a02,1000000000}/
	+ \z{a02,1000010000}
   582	= \z{802,110001} \z{802,110000} - 1\u{e069} course
   583	= \z{802,110001} \z{802,110000} - 2\u{e06a} course
   584	= \z{802,110001} \z{802,110000} - 3\u{e06a} course
   585	= \z{802,110001} \z{802,110000} - Dernière course
   586	= Course VS \z{802,110000} - \z{a02,1000000000}/\z{a02,1000010000}
   587	= Bataille de Ballons
   588	= Chasse aux Pièces

#--- [589:58c] engines
   589	= 50cc
   58a	= 100cc
   58b	= 150cc
   58c	= Miroir

   58d	= \z{802,110001} \z{802,110000}
   58e	= Course VS \z{802,110000}
   58f	= Classe:\040
   590	= \u{f063}
   591	= \u{f062}
   592	= \u{f061}
   593	= \u{f078}
   594	= \u{f079}
   595	= \u{f07a}
   596	= \u{f07b}
   597	= \u{f07c}
   598	= F
   599	= Grand Prix \z{802,110000}
   59a	= Grand Prix par équipes \z{802,110000}
   59b	= Course VS par équipes \z{802,110000}
   59c	/
   59d	/
   59e	/
   59f	/
   5a0	= Course VS \z{802,110000} \z{802,110001}
   5a1	= \z{802,110002}Grand Prix \z{802,110000} - 1\u{e069} course
   5a2	= \z{802,110002}Grand Prix \z{802,110000} - 2\u{e06a} course
   5a3	= \z{802,110002}Grand Prix \z{802,110000} - 3\u{e06a} course
   5a4	= \z{802,110002}Grand Prix \z{802,110000} - Dernière course
   5a5	= \z{802,110002}Bataille de Ballons
   5a6	= \z{802,110002}Chasse aux Pièces
   5a7	= (\z{a02,1000000000} joueurs)
   5a8	= 
   5a9	= \c{red2}
   5aa	= \c{blue1}
   5ab	= 
   5dc	= Utiliser objet
   5dd	= Tourner
   5de	= Accélérer
   5df	= Freiner/Déraper
   5e0	= Freiner
   5e1	= 

